PEX;X;Y;Area;Produccion
2320F;505.91;882.83;299;6897.1568
2320H;493.67;870.79;299;5807.9899
2321F;500.73;902.15;299;2097.1283
2321H;488.49;890.11;299;3112.5346
2322F;495.55;921.47;299;289.1452
2322H;483.31;909.43;299;504
2323F;490.37;940.79;299;43.6281
2323H;478.13;928.75;299;0
2324F;485.19;960.11;299;67.2789
2324H;472.95;948.07;299;0
2325F;480.01;979.43;299;355.0462
2325H;467.77;967.39;299;0
2326F;474.83;998.75;299;0
2326H;462.59;986.71;299;0
2327F;469.65;1018.07;299;0
2327H;457.41;1006.03;299;0
2328F;464.47;1037.39;299;0
2328H;452.23;1025.35;299;0
2329F;459.29;1056.71;299;0
2329H;447.05;1044.67;299;0
2330F;454.11;1076.03;299;0
2330H;441.87;1063.99;299;0
2331F;450.57;1096.42;299;0
2331H;437.34;1083.23;299;0
2407F;548.76;607.38;299;54026.2322
2408F;543.58;626.7;299;53784.787
2408H;531.34;614.66;299;53856.1584
2409F;538.4;646.02;299;65183.1253
2409H;526.16;633.98;299;41197.6961
2410F;533.22;665.34;299;78965.0215
2410H;520.98;653.3;299;57922.9948
2411F;528.04;684.66;299;63543.074
2411H;515.8;672.62;299;50304.0103
2412F;522.86;703.98;299;60040.5772
2412H;510.62;691.94;299;36750.7226
2413F;517.68;723.3;299;42616.5794
2413H;505.44;711.26;299;30305.7027
2414F;512.5;742.62;299;39763.0405
2414H;500.26;730.58;299;12435.7915
2415F;507.32;761.94;299;35548.482
2415H;495.08;749.9;299;4275.2671
2416F;502.14;781.26;299;18716.0316
2416H;489.9;769.22;299;4997.655
2417F;496.96;800.58;299;20733.0173
2417H;484.72;788.54;299;7741.0218
2418F;491.78;819.9;299;10397.3945
2418H;479.54;807.86;299;8537.0705
2419F;486.6;839.22;299;4361.077
2419H;474.36;827.18;299;6249.5001
2420F;481.42;858.54;299;523.8296
2420H;469.18;846.5;299;2167.7029
2421F;476.24;877.86;299;205.7209
2421H;464;865.82;299;0
2422F;471.06;897.18;299;0
2422H;458.82;885.14;299;0
2423F;465.88;916.5;299;0
2423H;453.64;904.46;299;0
2424F;460.7;935.82;299;0
2424H;448.46;923.78;299;0
2425F;455.52;955.14;299;0
2425H;443.28;943.1;299;0
2426F;450.34;974.46;299;0
2426H;438.1;962.42;299;0
2427F;445.16;993.78;299;0
2427H;432.92;981.74;299;0
2428F;439.98;1013.1;299;0
2428H;427.74;1001.06;299;0
2429F;434.8;1032.42;299;0
2429H;422.56;1020.38;299;0
2430F;429.62;1051.74;299;0
2430H;417.38;1039.7;299;0
2431F;426.15;1072.05;299;0
2431H;412.92;1058.86;299;0
2508F;519.09;602.41;299;34708.1081
2509F;513.91;621.73;299;45739.6424
2509H;501.67;609.69;299;34176.059
2510F;508.73;641.05;299;52637.726
2510H;496.49;629.01;299;33454.3286
2511F;503.55;660.37;299;41157.7119
2511H;491.31;648.33;299;22085.6461
2512F;498.37;679.69;299;34555.9314
2512H;486.13;667.65;299;14974.5456
2513F;493.19;699.01;299;22651.3816
2513H;480.95;686.97;299;11120.0313
2514F;488.01;718.33;299;11570.8763
2514H;475.77;706.29;299;7113.3475
2515F;482.83;737.65;299;6194.217
2515H;470.59;725.61;299;6739.0253
2516F;477.65;756.97;299;3085.9338
2516H;465.41;744.93;299;4712.177
2517F;472.47;776.29;299;379.2864
2517H;460.23;764.25;299;2383.4602
2518F;467.29;795.61;299;10
2518H;455.05;783.57;299;0
2519F;462.11;814.93;299;273.712
2519H;449.87;802.89;299;0
2520F;456.93;834.25;299;537.424
2520H;444.69;822.21;299;0
2521F;451.75;853.57;299;0
2521H;439.51;841.53;299;0
2522F;446.57;872.89;299;0
2522H;434.33;860.85;299;0
2523F;441.39;892.21;299;0
2523H;429.15;880.17;299;0
2524F;436.21;911.53;299;0
2524H;423.97;899.49;299;0
2525F;431.03;930.85;299;0
2525H;418.79;918.81;299;0
2526F;425.85;950.17;299;0
2526H;413.61;938.13;299;0
2527F;420.67;969.49;299;0
2527H;408.43;957.45;299;0
2528F;415.49;988.81;299;0
2528H;403.25;976.77;299;0
2529F;410.31;1008.13;299;0
2529H;398.07;996.09;299;0
2530F;405.13;1027.45;299;0
2530H;392.89;1015.41;299;0
2531F;401.73;1047.68;299;0
2531H;388.5;1034.49;299;0
2609F;489.42;597.44;299;15697.2244
2610F;484.24;616.76;299;15029.8165
2610H;472;604.72;299;2933.9222
2611F;479.06;636.08;299;15719.7332
2611H;466.82;624.04;299;6294.1957
2612F;473.88;655.4;299;13733.2572
2612H;461.64;643.36;299;6806.467
2613F;468.7;674.72;299;7884.5961
2613H;456.46;662.68;299;5485.1445
2614F;463.52;694.04;299;3484
2614H;451.28;682;299;5592.4703
2615F;458.34;713.36;299;621.5916
2615H;446.1;701.32;299;676
2616F;453.16;732.68;299;562.3313
2616H;440.92;720.64;299;0
2617F;447.98;752;299;10
2617H;435.74;739.96;299;0
2618F;442.8;771.32;299;0
2618H;430.56;759.28;299;0
2619F;437.62;790.64;299;0
2619H;425.38;778.6;299;0
2620F;432.44;809.96;299;0
2620H;420.2;797.92;299;0
2621F;427.26;829.28;299;0
2621H;415.02;817.24;299;0
2622F;422.08;848.6;299;0
2622H;409.84;836.56;299;0
2623F;416.9;867.92;299;0
2623H;404.66;855.88;299;0
2624F;411.72;887.24;299;0
2624H;399.48;875.2;299;0
2625F;406.54;906.56;299;0
2625H;394.3;894.52;299;0
2626F;401.36;925.88;299;0
2626H;389.12;913.84;299;0
2627F;396.18;945.2;299;0
2627H;383.94;933.16;299;0
2628F;391;964.52;299;0
2628H;378.76;952.48;299;0
2629F;385.82;983.84;299;0
2629H;373.58;971.8;299;0
2630F;380.64;1003.16;299;0
2630H;368.4;991.12;299;0
2631F;377.31;1023.31;299;0
2631H;364.08;1010.12;299;0
2710F;459.75;592.47;299;567
2711F;454.57;611.79;299;448
2712F;449.39;631.11;299;242.3144
2713F;444.21;650.43;299;0
2714F;439.03;669.75;299;14
2715F;433.85;689.07;299;7
2716F;428.67;708.39;299;0
2717F;423.49;727.71;299;0
2718F;418.31;747.03;299;0
2719F;413.13;766.35;299;0
2720F;407.95;785.67;299;0
2721F;402.77;804.99;299;0
2722F;397.59;824.31;299;0
2723F;392.41;843.63;299;0
2724F;387.23;862.95;299;0
2725F;382.05;882.27;299;0
2726F;376.87;901.59;299;0
2727F;371.69;920.91;299;0
2728F;366.51;940.23;299;0
2729F;361.33;959.55;299;0
2730F;356.15;978.87;299;0
2731F;352.89;998.94;299;0
