ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
1831,ANDESITE,0.49,17.3,14.6,56.4,,3.33,15,30.6,,1.35,4.84
1832,ANDESITE,0.861,15.58,38.8,120,,2.64,12.1,26.7,5.07,3.8,1.82
1833,ANDESITE,0.863,15.59,38.3,117,,2.9,,26.4,5.01,3.73,1.79
1835,ANDESITE,0.525,18.24,24.1,132,,5.1,16.1,29.8,3.729,2.436,5.2
1836,DACITE,1.21,16.6,35.9,229,,13.2,30.93,65.5,7.88,3.33,11
1837,ANDESITE,0.51,17.2,14.4,40.5,,3.79,,30.1,2.94,1.34,5.05
1838,ANDESITE,0.48,17.66,21.22,85,,3.2,10.69,23.46,3.18,2.28,2.44
1839,BASALT,0.48,17.66,18,85,,4,11.4,25.2,,2.38,2.467
1840,ANDESITE,0.54,17.12,18,98,13,2.9,11,22,,2.2,4.1
1843,ANDESITE,0.804,15.67,41.6,126,,2.88,13.7,29.1,5.46,4.16,2.02
1846,ANDESITE,1.116,16.02,38.9,280,,15.6,35.89,82.15,,3.93,15
1847,ANDESITE,0.47,17.3,20.8,85.5,,2.89,12.3,23.2,,2.19,2.78
1848,ANDESITE,0.4,21.57,30.9,56.3,,0.55,3.11,8.1,,3.08,0.2
1849,ANDESITE,1.156,16,40.7,256,9,14.7,35.08,75.61,,3.7,13
1851,ANDESITE,0.7,16.59,26,114,,3.18,10.29,21.72,3.76,2.57,3.056
1853,ANDESITE,0.81,15.2,32.7,77.7,10,0.66,4.46,12.7,,3.42,0.475
1854,ANDESITE,0.44,17.4,22,110,8,3.3,11.7,26,,2.28,2.55
1857,ANDESITE,1.47317085,13.64688859,58.37678638,155.6901608,,3.025911687,5.54327601,18.43429883,,5.311899219,0.245982772
1858,ANDESITE,0.498,18.39,15.64,118,,5.36,,24.15,2.93,1.58,1.45
1859,ANDESITE,0.7,16.7,24.3,104,,2.55,9.45,19.95,3.52,2.4,2.888
1860,ANDESITE,0.53,16.47,16.76,88.12,,2.236,,20.34,,1.902,3.257
1861,ANDESITE,0.52,18.3,17.19,121,,5.72,,24.9,3.04,1.63,1.27
1862,DACITE,0.65,15.36,22.4,147.6,,3.9,9.64,24.71,4.23,1.9,2.69
1863,ANDESITE,0.49,16.6,13.5,37.1,,2.97,13.6,28.1,2.67,1.32,4.47
1864,DACITE,0.65,15.68,22,143.1,14,4.2,10.85,25.54,,1.89,2.62
1865,DACITE,0.66,15.49,21.8,146.1,,4,9.98,24.76,4.4,1.87,2.76
1866,ANDESITE,0.5,17.46,15.38,82.52,,2.126,9.596,19.28,,1.794,3.203
1867,ANDESITE,0.51,18.22,16.16,121,,5.31,12.17,24.16,2.97,1.65,1.52
1869,ANDESITE,0.77,15.33,37.5,72.3,,1.5,3.8,14.5,2.81,3.09,0.3
1870,ANDESITE,0.47,16.6,13.7,51.3,,4.09,13.6,28.2,2.7,1.32,4.93
1871,DACITE,0.66,15.41,19.1,137.6,,3.1,,23.99,,1.59,2.76
1872,ANDESITE,0.88,16.47,32.47,90.2,,1.58,11.96,27.19,,3.22,3.13
1873,ANDESITE,0.88,16.28,32.84,93.64,,1.56,11.93,27.64,4.28,3.2,3.17
1874,DACITE,0.64,15.94,21.4,145.9,,3.7,10.42,24.2,,1.86,2.57
1876,ANDESITE,0.88,16.72,33.1,96.37,,1.57,11.78,27.26,4.8,3.04,3.38
1877,ANDESITE,0.65,12.8,5.6,38.6,,0.59,1.7,3.9,0.6,0.7,0.4
1878,ANDESITE,0.56,18.41,25.1,87.9,,1.96,5.02,12.8,,2.72,0.76
1879,DACITE,0.820159397,16.67523098,34.91736269,159.6655237,,4.563880279,14.31031962,30.63134015,5.369097628,3.4272751,4.259921633
1880,ANDESITE,0.52,17.9,22.8,54.7,7,5.49,27.1,50.9,4.44,2.27,9.91
1881,ANDESITE,0.51,17.8,18.1,73.3,,2.9,12.6,23.8,3.05,1.83,2.99
1882,ANDESITE,0.74,15.75,39.4,114,0,2.5,6.56,18.2,4.55,4.18,1.12
1883,ANDESITE,0.67,18.66,28,150,,6.57,20.3,46.1,6.4,3.88,3.98
1884,ANDESITE,0.68,16.37,30.2,160.8,,3.81,11.75,25.85,4.15,3.11,3.5
1885,DACITE,0.810544193,16.69904097,35.65679176,163,7,4.631551589,,30.30606563,5.336668534,3.460007095,4.398165096
1887,ANDESITE,0.884,15.55,40.9,123,,2.89,13.2,28,5.29,4.15,1.94
1888,ANDESITE,0.68,16.47,26,113,,2.87,10.2,21.51,,2.56,3.046
1889,ANDESITE,0.5,17.2,24.4,86,12,2.71,12.1,25.9,4.14,2.62,2.69
1891,ANDESITE,0.54,17.79,25.1,104,6,6.5,19.1,33.4,,1.72,5.87
1894,ANDESITE,0.489,18.28,15.84,117,5,5.8,12.26,24.38,2.92,1.58,1.54
1895,ANDESITE,0.51,15.63,39.8,85.8,10,0.78,3.5,10.89,,4.18,0.33
1898,ANDESITE,0.45,17.25,17.7,86.6,12,2.97,11,23.2,2.53,1.81,2.92
1899,ANDESITE,0.44,17.3,19.8,105,11,2.98,10.9,24.6,3.03,2.16,2.71
1902,ANDESITE,0.7,16.13,26.3,114,12,2.99,10.31,21.78,3.81,2.58,3.021
1904,ANDESITE,0.42,17.1,20.62,92,11,3.2,11.3,24.17,,2.08,2.82
1905,DACITE,0.770128588,16.33031733,38.3,190,13,5.6,16.26,34.75,5.86,3.74,5.39
1906,ANDESITE,0.51,16.59,16,98,,3.2,,23,2.6,2,4.6
