ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
2099,DACITE,0.61,14.66,62,310,,9.97,,55,8.71,6.31,7.42
2100,DACITE,0.61,14.67,62,338,,9.69,26,55,8.88,6.38,7.44
2101,DACITE,0.47,16.6,17.9,40.8,12,9.2,58.8,141,,1.43,10.3
2102,DACITE,0.92,16.78,38,299,,16.3,36.19,82.36,8.75,4,16
2103,DACITE,0.64,14.73,41.2,83.4,3,2,6.3,15.7,3.71,3.55,0.2
2104,DACITE,0.62,14.54,40,82.5,,2,,15.2,3.48,3.39,0.1
2105,DACITE,0.27,11.72,30.8743047,130.1136176,3,14.78578886,41.50075592,74.71031132,,3.476798066,18.07364149
2106,RHYOLITE,0.76,14.75,37.7,82.3,,1,4.17,14.1,3.62,3.97,1.2
2107,DACITE,0.83,15.5,50.5,256,,16.86,27.74,55.38,,4.9,5.97
2108,RHYOLITE,0.519677145,15.72330261,43.74574219,259.6716,11,7.084728008,19.80231074,41.56438142,,4.559240993,7.027293338
2109,DACITE,0.59,13.98,42.4,79.1,,1.8,3.5,10.9,3.74,3.82,0.2
2110,RHYOLITE,0.57,15.1,31.2,134,5,3.9,,25.94,4.38,3.14,3.518
2111,RHYOLITE,0.54,15.41,28.1,194,4,7,16.37,34.49,,2.87,5.87
2112,DACITE,0.71,15.4,41.7,214,,13.44,23.77,46.41,6.43,4.11,6.13
2113,RHYOLITE,0.59,13.71,40.6,85.3,,0.7,,11.5,3.76,4.24,0.439
2117,DACITE,0.32,15.08,24.71,143.2,,5.38,19.19,39.58,3.76,2.79,10.31
2120,RHYOLITE,0.47,15,103,204,10,3.55,28.8,79.6,18.3,10.6,2.78
2121,DACITE,0.6,14.3,41.7,79.8,,1.8,6.1,16.9,2.9,3.7,0.1
2122,BASALT,0.59,14.32,40,75,12,0.52,3.24,9.29,3.27,4.24,0.424
2123,DACITE,0.59,14.32,42.5,80.7,,1.8,4.8,12.4,,3.68,1.4
2124,DACITE,0.73,14.9,50.7,252,,16.03,28.03,56.08,8.29,4.95,5.69
2126,DACITE,0.6,14.82,65.8,295.5,12,8.4,18.81,46.11,7.46,4.37,3.8
2127,DACITE,0.7,13.38,22.1,46.8,,1.5,1.35,3.54,,2.29,1.1
2128,DACITE,0.69,14.8,50.2,265,,16.03,27.54,55.52,8.09,5.02,6.97
2129,RHYOLITE,0.32,14.81,53.8,276,4,8.7,,56.52,6.7,5.52,6.04
2132,DACITE,0.33,14.09,26.67,146.38,11,4.86,20.59,41.2,3.92,2.81,10.93
2133,DACITE,0.6,13.95,42.2,80.4,,1.8,3.6,13.7,2.7,3.41,0.2
2134,RHYOLITE,0.26,13.41,10.7,81,,0.98,,8.1,1.39,1.17,0.67
2135,DACITE,0.41,14.4,45,199,12,3.81,11.6,29.4,,4.72,2.57
2136,RHYOLITE,0.74,14.05,33.7,116,,1.5,6.55,16.5,3.83,3.92,1.3
2137,DACITE,0.46,16.35,27,164,,5.4,18.921,48,3.545,2.387,11.4
2138,DACITE,0.55,15.2,48.3,236,,14.82,26.58,53.57,,4.65,5.37
2139,DACITE,0.8,14.03,40.1,97.5,,1,4.42,12.7,4.13,4.4,0.7
2141,DACITE,0.3,14.64,24.8,138.36,,4.96,18.16,37.71,3.46,2.64,9.4
2142,DACITE,0.58,15.02,54,285.5,,8,17.59,41.8,7.75,5.86,2.44
2143,RHYOLITE,0.447320155,15.72243733,46.9619735,274.8788321,8,7.396757487,21.1154765,43.86063039,6.724583291,4.902467416,7.648097914
2144,DACITE,0.77,15.76,40,322,,17,,81.44,8.41,4.09,18
2145,RHYOLITE,0.66,13.99,43,101.3,2,1,4.24,12.1,4.02,4.65,0.541
2147,DACITE,0.59,14.08,40.7,80,,1.8,4.5,12.6,3.48,3.83,0.5
2149,DACITE,0.52,15,49.4,241,,15.08,,53.73,,4.66,5.53
2151,DACITE,0.43,15.72,18.37,172.89,,6.46,17.57,40,3.05,2.05,8.66
2153,DACITE,0.68,14.27,40.4,112.2,,0.8,,12.4,3.88,4.43,0.6
2154,RHYOLITE,0.68,14.27,40.4,112.2,,0.8,4.36,12.4,3.88,4.43,0.6
2156,DACITE,0.53,14.77,35,177,13,3.62,14.9,33.22,,4.13,4.23
2157,BASALT,0.59,15.45,23.29,56.46,11,0.78,6.39,15.29,2.56,2.03,1.62
2158,BASALT,0.59,15.45,19.73,57.11,,0.95,6.88,15.86,,1.94,1.74
2160,DACITE,0.52,15.1,49.8,241,,15.18,26.76,54.56,7.87,4.69,5.53
2161,DACITE,0.41,15.09,27,165,,3.8,18.32,39.08,3.73,2.29,8.76
2162,RHYOLITE,0.69,14.01,33.1,123.4,,1.8,6.94,17.3,3.83,3.84,1
2163,DACITE,0.6,14.21,65,293.9,9,8.3,15.53,35.8,5.84,3.65,3
2166,DACITE,0.59,14.67,56.6,285.9,,8,10.74,27.15,,2.56,4.2
2167,RHYOLITE,0.35,13.73,23.8,244,,6.5,17.27,35.04,3.07,2.62,7.51
2168,DACITE,0.24,10.95,37.8,148,6,1.35,8.02,21.9,3.84,5.45,2.77
2169,RHYOLITE,0.58,14.66,29.1,126.5,6,1.7,,16.9,3.39,3.38,1.5
2170,RHYOLITE,0.51,15.1,29.2,225,13,6.6,25.8,52.9,,2.98,9.58
2172,RHYOLITE,0.57,14.5,29.2,130.7,10,2,7.13,17.4,3.4,3.41,1.6
2173,RHYOLITE,0.65,13.14,49,153,,1.4,11.9,28.6,5.75,5.24,1.688
2175,RHYOLITE,0.49,14.59,44.9,217,,3.8,11.6,29.7,5.47,5.08,2.1
2176,RHYOLITE,0.41,14.95,38.8,208,,3.92,12.7,32.8,,3.88,2.66
2177,RHYOLITE,0.41,14.54,46.6,283,1,9.3,22.02,48.72,6.02,4.9,5.84
2178,RHYOLITE,0.36,14.09,23.9,244,,6.3,16.78,33.8,,2.62,7.23
2179,DACITE,0.75,12.92,22.7,110.1,,2.6,4.89,16.06,2.72,2.58,0.82
2180,RHYOLITE,0.473635564,14.63575623,42.53797353,297.7318661,,9.06032016,21.12378688,44.49347642,6.658416706,4.37047337,8.801512017
2181,DACITE,0.36,15.22,21.11,158.14,3,6.16,18.17,36.28,3.44,2.16,8.66
2182,RHYOLITE,0.35,14.37,24.1,245,7,6.6,17.33,34.68,3.14,2.64,7.48
2183,DACITE,0.4,15.43,31.75,146.23,13,2.46,17.1,36.13,,3.14,5.37
2184,RHYOLITE,0.5,15.75,102,201,,3.52,28.5,76.6,17.8,10.5,2.74
2185,RHYOLITE,0.36,14.32,47.7,295,,9.1,22.14,49.21,5.87,4.83,5.82
2186,DACITE,0.35,14.33,20,151,,4.7,18.55,37.43,3.2,1.77,9.45
2187,RHYOLITE,0.36,14.8,47,296,,9.2,22.71,50.38,6,4.82,5.96
2188,RHYOLITE,0.27,13.93,35.8,187,9,5.7,18.89,39.51,4.5,3.9,5.57
2189,DACITE,0.46,12.66,49.3,127,,1,,14.4,4.39,4.92,1
2190,DACITE,0.41,15.41,23.31,176.12,,6.37,20.85,37.69,4.58,2.34,8.42
2191,RHYOLITE,2.46,14.23,12,79,,1.1,3.9,9.4,1.5,1.4,0.8
2192,DACITE,0.35,13.33,79,394,,11.19,30,65,10.87,8.2,7.93
2193,RHYOLITE,0.36,14.81,39.7,153.8,1,1.8,9.2,24.5,4.97,4.39,1.1
2194,RHYOLITE,0.39,14.6,36.9,256,,7.67,24.4,52.4,5.51,3.92,8.77
2195,DACITE,0.35,13.6,78,389,,10.92,,65,10.79,8.19,8.05
2196,DACITE,0.29,14.81,21.9,172.01,,5.02,19.43,37.56,3.2,2.42,11.53
2197,RHYOLITE,0.370608441,15.01516582,48.36652026,300.0607527,,8.01397001,21.89039355,45.75495574,6.847195676,5.080559466,8.510799968
2198,DACITE,0.76,13.76,44.87,109.1,,2.5,8.6,21.68,5.74,4.95,1.41
2199,DACITE,0.48,13.73,34,179,,3.47,14.38,32.6,5.14,4.09,4.16
2200,RHYOLITE,0.38,14.7,34.5,249,,7.1,,50.1,,3.66,9.27
2202,RHYOLITE,0.58,13.55,37.9,128.6,,1.2,6.57,17.3,4.19,4.38,0.5
2203,DACITE,0.580623636,13.60005426,27.93694305,120.1950894,,1.972098082,4.062612859,11.60939016,3.110384069,3.187685112,0.397950305
2204,DACITE,0.32,13.44,73,359,,10.54,28,60,9.94,7.58,7.43
2205,DACITE,0.450717149,12.51828845,30.39898399,142.3548374,,2.278846506,4.313609199,12.11371741,,3.078964422,0.457584295
2206,RHYOLITE,0.376004797,14.36948061,45.58895202,276.4119578,,7.308321917,21.05362153,44.15499238,,4.827163975,7.901584028
2207,RHYOLITE,0.59,13.73,38.1,129.4,,1.2,6.5,17.3,4.18,4.31,1.1
2209,RHYOLITE,0.376072869,14.33525077,46.65349972,285.4471692,,7.619613586,,44.85007926,6.755901919,4.929456902,8.097800342
2210,DACITE,0.552892951,13.24784622,28.87976979,123.1228149,,2.178699147,3.717968331,11.2938039,3.188853228,3.314741169,0.369770402
2211,RHYOLITE,0.372119361,14.43984913,48.40197826,295.755713,,7.867289583,22.12479933,45.21447228,6.766861353,4.907287008,8.284915334
2212,RHYOLITE,0.42,13.73,38.4,124.6,,1.1,5.1,14.8,3.99,4.34,1
2213,RHYOLITE,0.64,13.27,39.2,130.7,,1.2,6.62,17.5,,4.44,1.4
2214,RHYOLITE,0.36669305,14.46734328,47.55720775,291.6561756,4,7.743366252,21.86081268,45.40644582,6.800399727,4.910684087,8.260974006
2215,DACITE,0.566041797,13.36216439,22.91408874,108.2714096,9,1.834017065,3.497945392,10.09151536,2.774443686,2.495494881,0.344221843
2216,RHYOLITE,0.360533226,14.39103211,45.76795681,278.6005958,,7.394848019,,43.91839173,6.663794282,4.867862513,7.932069487
2218,RHYOLITE,0.358848037,14.41474318,48.56831693,294.0499727,4,7.875977155,,45.34952308,6.715156836,4.999878522,8.35539793
2219,RHYOLITE,0.35,13.44,40.26,208.73,14,7.83,24.88,45.31,6.87,4.21,8.26
2220,RHYOLITE,0.29,13.37,46.7,110.4,,0.81,4.33,13.4,4.28,4.97,0.34
2222,RHYOLITE,0.35,14.44,23.5,177,,6.6,16.2,32.46,3.08,2.51,7.08
2223,DACITE,0.19,11.78,29.8,121,,1.44,9.12,20.4,3.43,4.29,2.49
2224,RHYOLITE,0.47,13.63,41.7,99.9,7,1.1,,12.7,3.91,4.49,1
2225,RHYOLITE,0.360036906,14.35133184,47.93071683,295.6500123,,7.890726614,22.28642027,46.26514026,6.828450495,4.977938766,8.337727797
2226,RHYOLITE,0.06,12.08,40.21,87.91,,4.38,18.35,37.04,,3.87,9.57
2229,RHYOLITE,0.37,13.94,49.28,212.53,,8.69,44.37,65.59,11.06,4.99,7.42
2230,RHYOLITE,0.39,14.5,36.6,248,7,6.67,24.5,52.1,5.21,3.83,8.1
2231,RHYOLITE,0.345242874,14.26134083,48.63037303,299.4679995,,7.862741601,22.31794085,46.1778274,6.908531723,5.110867891,8.527757272
2232,RHYOLITE,0.341000807,14.34624697,47.7353193,292.6628819,,7.859391595,21.69647766,45.26083667,6.715637003,4.997541395,8.410494531
2233,DACITE,0.54,14.31,34.46,282.5,11,8.3,10.95,22.45,5.52,4.48,2.17
2234,RHYOLITE,0.36,14.32,23.5,233,,6.1,16.57,32.98,,2.61,7.2
2235,RHYOLITE,0.352429208,14.37298247,48.18419581,294.9531038,1,7.9621191,22.02814291,46.42160526,6.894179941,4.966596157,8.208768849
2237,RHYOLITE,0.52,13.04,46,115,,1.8,5.2,14.6,4.18,4.47,0.47
2239,RHYOLITE,0.36,13.49,41.59,212.31,,9.15,,51.92,8.18,4.35,7.57
2241,RHYOLITE,0.42,12.71,50.1,131.6,,1,,17,,5.85,0.7
2244,RHYOLITE,0.23,13.76,63.1,500.2,,15.13,34.16,76.92,,6.82,13.899
2245,RHYOLITE,0.38,14.47,19.85,164.38,,4.58,18.49,35.52,3.72,2.05,8.32
2247,RHYOLITE,0.05,12.15,40.35,82.89,,4.48,18.19,36.74,,3.96,9.32
2248,DACITE,0.29,14.16,22.1,63.9,,1.37,,11.7,2.5,2.18,0.36
2249,RHYOLITE,0.36,14.08,32.7,135.6,10,1.2,5.45,15,3.41,3.74,0.7
2250,DACITE,0.53,12.83,19.6,149.5,1,2.7,,12.3,2.27,2.4,0.56
2251,RHYOLITE,0.15,12.88,42.8,192,,8.6,21.9,47.52,5.16,4.48,6.16
2252,RHYOLITE,0.27,13.34,47.7,195.5,,2.7,9.06,24.6,5.07,5.32,1.2
2253,RHYOLITE,0.31,14.42,16.69,128.1,,6.15,,38,,1.69,9.41
2254,RHYOLITE,0.17,13.85,36,227,9,4.6,27.5,50.33,4.2,3.28,9.25
2255,DACITE,0.25,14.18,26,181,8,6.3,20.506,48,3.323,2.512,10
2256,RHYOLITE,0.26,13.15,47.3,124.8,,1.03,4.5,14.1,4.54,5.27,0.357
2257,RHYOLITE,0.51,14.23,44,129,,0.5,12.68,24.31,6.23,4.26,1.67
2258,RHYOLITE,0.15,13.09,42.5,193,11,8.6,21.86,47.45,,4.45,6.13
2260,RHYOLITE,0.48,12.9,42.3,103,1,1.1,4.55,12.6,3.92,4.53,0.9
2261,RHYOLITE,0.07,14.8,38,86,11,2.6,15.03,27.8,3.22,3.6,9.78
2262,RHYOLITE,0.33,14.26,17.42,133.98,6,5.92,19.33,38.83,3.19,1.76,8.75
2264,RHYOLITE,0.18,13.65,66,242,,7,37.99,73.71,11.77,6.17,10.72
2265,RHYOLITE,0.41,12.4,23,75,5,7.9,12.163,23.892,3.118,2.446,2.021
2266,RHYOLITE,0.07,12.31,41.45,85.3,,4.83,17.87,37.25,4.24,4.03,9.57
2267,RHYOLITE,0.22,13.57,19.98,119.59,,3.76,20.59,43.12,,2.27,10.98
2268,RHYOLITE,0.23,14.35,45,178.7,,5.19,18.4,40.74,5.78,4.67,5.54
2269,RHYOLITE,0.19,13.03,45.3,171,,4.5,14.02,32.01,4.83,4.8,3.15
2270,RHYOLITE,0.23,13.7,36.3,244,,6.29,30.6,63.4,,3.96,12.2
2271,RHYOLITE,0.18,13.93,26.72,198.4,14,6.25,19.24,42.18,4.99,3.08,12.49
2272,DACITE,0.16,11.02,27.8,117,,1.46,8.29,21.1,3.27,9.35,2.34
2273,RHYOLITE,0.15,13.43,27,177,14,3.9,23.98,44.1,3.64,2.54,10.77
2274,RHYOLITE,0.26,12.89,50.6,130.8,,1.04,,14.3,4.42,5.16,0.379
2275,RHYOLITE,0.35,13.06,19.82,147.01,,4.99,17.18,32.77,3.59,2.12,7.57
2276,RHYOLITE,0.28,11.35,58.16,92.22,,2.89,,25.51,14.24,5.21,3.69
2277,BASALT,0.19,13.53,33,107,,4,18.5,36.1,,3.16,3.204
2278,RHYOLITE,0.07,15.02,42,84,,1.9,12.32,24.89,2.96,3.73,9.63
2279,RHYOLITE,0.32,13.51,54,204,,4,12.6,31.6,,5.29,1.2
2280,RHYOLITE,0.28,12.86,27,155.7,,2.3,9.82,23,3.19,3.11,1.1
2281,RHYOLITE,0.17,13.5,41,256,,5.3,22.75,48.75,5.48,3.82,9.36
2282,RHYOLITE,0.21,13.6,30.8,192,,5.05,,51.5,4.34,3.33,12
2283,RHYOLITE,0.24,13.3,37.3,210,,5.98,26.3,55.9,,3.87,12.13
2284,RHYOLITE,0.25,11.26,42.5,81.03,11,1.79,58.23,22.59,9.8,3.8,3.57
2285,RHYOLITE,0.26,10.88,17.11,87.72,,3.09,8.15,17.7,2.17,1.98,3.28
2286,RHYOLITE,0.27,13.9,22.6,167,,6.5,16.25,32.43,2.9,2.41,7.62
2287,RHYOLITE,0.14,13.87,17.11,102.03,,5.26,,28.4,2.4,1.89,6.96
2288,RHYOLITE,0.06,12.52,40.46,86.24,,3.82,,37.2,4.55,4.35,8.79
2289,RHYOLITE,0.17,13.57,35.1,254.45,7,7.54,26.1,47.85,5.75,3.3,9.81
2290,RHYOLITE,0.17,13.6,30.24,254.5,13,7.76,26.74,48.42,5.89,3.13,10.98
2292,RHYOLITE,0.16,13.55,28,169,0,3.5,23.86,40.87,3.69,2.58,12.03
2294,RHYOLITE,0.15,12.13,45.8,183.3,,5.43,,39.61,5.81,4.76,5.57
2295,RHYOLITE,0.08,14.23,36,115,,3.6,20.24,35.86,3.63,3.57,8.25
2296,RHYOLITE,0.18,13.43,46.05,247.56,,7.67,32.13,60.85,7.97,4.73,10.06
2297,RHYOLITE,0.3,12.93,45.6,200.9,11,2,6.83,18.1,3.72,3.69,1
2298,RHYOLITE,0.18,12.83,62.9,269.6,,5.04,15.5,40.6,7.46,6.3,1.68
2299,RHYOLITE,0.22,13.3,18.8,159,,3.79,20,36.9,2.75,2.16,10.6
2300,RHYOLITE,0.34,13.42,53.2,162,11,2.93,10.4,27.6,,5.06,1.1
2301,RHYOLITE,0.11,11.64,45,150,,5.7,27.62,59.16,6.4,4.2,11.48
2302,RHYOLITE,0.07,14.69,36,101,14,4,18.03,30.03,3.54,3.16,9.87
2303,RHYOLITE,0.33,13.18,30.7,170,,2.4,10.1,24.2,3.5,3.32,1.3
2304,RHYOLITE,0.11,12.41,24.11,92.29,,5.75,,44.88,3.39,2.7,11.88
2305,RHYOLITE,0.310272739,13.05957036,45.141,195.75,,2.1253,4.84,12.8,2.63,2.61,1.4105
2306,RHYOLITE,0.11,12.41,24.32,95,,6.06,22.59,40.25,2.97,2.52,12.3
2307,RHYOLITE,0.09,12.75,31.88,87.89,5,4.61,21.93,45.59,4.1,3.51,9.95
2308,RHYOLITE,0.03,12.82,33.83,57.51,,7.92,,27.42,3.25,3.08,9.12
2309,RHYOLITE,0.04,12.73,30.26,67.39,,6.59,20.65,40.43,,2.73,11.16
2310,RHYOLITE,0.17,13.12,64.17,315.43,,10.65,32.97,60.08,8.48,6.1,7.68
2312,RHYOLITE,0.11,12.46,22.99,94.55,,5.91,22.87,42.42,3.15,2.62,11.56
2313,RHYOLITE,0.1,12.83,31.04,88.4,13,4.47,21.76,44.04,3.91,3.53,9.81
2314,RHYOLITE,0.04,12.82,30.24,67.42,9,6.9,,40.15,3.69,2.84,10.91
2315,RHYOLITE,0.091,12.567,28.8,69.3,,6.4,13.109,30.34,3.28,3.45,4.618
2316,RHYOLITE,0.09,12.92,29.61,88.96,,3.61,21.26,43.17,3.86,3.29,9.87
2317,RHYOLITE,0.17,12.53,42.7,139,,4.81,18.01,37.39,5.68,4.46,5.312
2318,RHYOLITE,0.05,12.35,31.19,78.65,5,3.48,,36.32,3.92,3.18,8.06
2319,RHYOLITE,0.11,13.2,37.7,97,,3.7,20.4,41.5,4.51,3.93,9.67
2320,RHYOLITE,0.05,12.8,41,88.7,1,3.95,20.3,42.5,4.73,4.4,10.4
2321,RHYOLITE,0.1,12.69,38.5,109.3,10,0.96,4.74,11.6,3.17,4.01,0.56
2322,RHYOLITE,0.05,12.33,30.95,78.18,,3.84,,36.53,4.14,3.22,8.27
2323,RHYOLITE,0.06,12.27,34.44,85.67,,4.51,18.11,34.82,3.85,3.52,8.12
2324,DACITE,0.16,9.29,20.6,95.3,,1.1,5.87,13.6,2.25,2.84,1.84
2325,RHYOLITE,0.11,12.23,39.24,141.48,11,5.75,,53.84,6.61,3.92,10.48
2326,RHYOLITE,0.11,12.17,39.9,141.94,,7.17,25.54,53.46,6.64,4.1,10.34
2327,DACITE,0.460715908,10.43612794,47.95308094,141.3781137,,1.470709086,7.086765979,15.32710423,,4.355634183,0.523649365
2328,RHYOLITE,0.1,12.62,39.7,114.6,,1.04,4.85,13.6,,4.14,0.54
2329,DACITE,0.67,10.87,18.2,94.6,,1.8,2.28,11.54,1.62,2.05,0.38
2330,RHYOLITE,0.1,12.71,40.1,117,,1.04,4.84,13,,4.13,0.56
2331,RHYOLITE,0.19,13.35,54.5,257,,9.6,22.88,51.78,6.58,5.82,6.04
2332,RHYOLITE,0.125,12.734,26.9,86.1,,6.55,17.33,35.57,3.43,3.08,5.103
2333,RHYOLITE,0.14,12.2,40.4,132,,4.35,16.94,35.37,5.46,4.12,4.867
2334,RHYOLITE,0.14,12.18,39.7,130,2,4.41,16.82,35.04,5.3,4.06,4.762
2335,RHYOLITE,0.14,12.22,43.1,140,,4.68,17.99,37.74,,4.35,5.215
2336,RHYOLITE,0.13,12.11,37.3,122,,3.94,,32.64,,3.86,5.214
2337,RHYOLITE,0.11,12.12,48,146,,6.5,39,74.95,7.87,4.06,12.31
2338,DACITE,0.57,11.59,38,219.7,,6.4,,32.05,,3.66,1.25
2339,DACITE,0.64,10.61,37,88.2,,2,7.05,17.65,,3.83,0.84
2340,DACITE,0.264524277,10.15064391,30.68197097,132.3636374,,1.377627416,4.678482367,12.33854868,,3.173819048,0.505508418
2341,DACITE,0.37,9.75,23.8,106.5,6,2.4,7.54,17.27,2.93,2.69,1.32
2342,DACITE,0.23,11.1,23,125,,0.54,5.5,15,2,1.9,1.6
2343,RHYOLITE,0.09,11.26,25,96.6,,0.84,4.87,11.4,3.33,2.77,0.43
2344,RHYOLITE,0.09,10.91,28.8,88.6,,0.81,4.62,11.1,3,3.08,0.43
2345,RHYOLITE,0.09,10.59,27.2,85,1,0.87,4.2,10.9,,2.79,0.42
