FECHA;MINERAL SAG1;MINERAL SAG2
06-01-20 07:00;2872.988037;1768.39502
06-01-20 08:00;2767.97998;1989.410034
06-01-20 09:00;2808.032471;2025.849121
06-01-20 10:00;2761.96167;1987.304321
06-01-20 11:00;2712.985596;2079.40918
06-01-20 12:00;2778.044922;1982.63501
06-01-20 13:00;2424.005859;1970.45813
06-01-20 14:00;0;2092.043945
06-01-20 15:00;0;1974.39502
06-01-20 16:00;2249.995361;1419.476929
06-01-20 17:00;2345.976074;2069.063477
06-01-20 18:00;2323.044434;1936.490967
06-01-20 19:00;2326.987549;2021.17981
06-01-20 20:00;2271.993164;2096.621582
06-01-20 21:00;2433.033203;2116.672363
06-01-20 22:00;2516.043701;2084.719482
06-01-20 23:00;1873.958496;2084.62793
07-01-20 00:00;2778.044922;2107.333496
07-01-20 01:00;2770.989014;2101.657227
07-01-20 02:00;2795.99585;2056.428711
07-01-20 03:00;2750.029053;2067.506836
07-01-20 04:00;2769.951416;2087.557617
07-01-20 05:00;2800.042725;1996.276733
07-01-20 06:00;2475.990967;1964.781616
07-01-20 07:00;2510.959229;2033.997559
07-01-20 08:00;2163.041992;1806.390625
07-01-20 09:00;2190.954346;1351.451172
07-01-20 10:00;0;1250.099243
07-01-20 11:00;0;1327.646729
07-01-20 12:00;0;1370.403198
07-01-20 13:00;0;1174.932129
07-01-20 14:00;0;1373.241333
07-01-20 15:00;1725.992554;1430.097412
07-01-20 16:00;622.9926147;1.190221906
07-01-20 17:00;1878.005371;1156.437866
07-01-20 18:00;1997.9552;1285.714233
07-01-20 19:00;2111.990723;1440.351563
07-01-20 20:00;2182.030762;1310.159668
07-01-20 21:00;2251.966797;1291.116089
07-01-20 22:00;0;1166.05127
07-01-20 23:00;0;1638.294678
08-01-20 00:00;1981.975708;1601.397705
08-01-20 01:00;2295.028564;1528.061768
08-01-20 02:00;2389.97168;1179.967651
08-01-20 03:00;2398.999023;1254.036133
08-01-20 04:00;2452.955811;1259.071655
08-01-20 05:00;2450.050293;1242.133911
08-01-20 06:00;2339.957764;1100.131226
08-01-20 07:00;2406.98877;1382.213867
08-01-20 08:00;2297;1034.852173
08-01-20 09:00;0;1163.12146
08-01-20 10:00;0;1180.425415
08-01-20 11:00;2144.987305;1745.139893
08-01-20 12:00;2152.977051;1405.377319
08-01-20 13:00;2132.01709;1424.14624
08-01-20 14:00;2488.027588;1674.642212
08-01-20 15:00;2585.045898;1827.265259
08-01-20 16:00;2353.96582;1845.850952
08-01-20 17:00;2635.993408;2058.717529
08-01-20 18:00;2397.027588;1911.954102
08-01-20 19:00;2420.996826;2012.573608
08-01-20 20:00;539.9822998;1970.000366
08-01-20 21:00;2711.01416;1917.355835
08-01-20 22:00;2742.039307;2019.806519
08-01-20 23:00;2624.994629;2041.779785
09-01-20 00:00;2612.958252;2016.602051
09-01-20 01:00;2621.051758;2049.378906
09-01-20 02:00;2621.985596;2026.581665
09-01-20 03:00;2624.994629;2016.693604
09-01-20 04:00;2554.95459;2020.53894
09-01-20 05:00;2527.04248;2014.22168
09-01-20 06:00;0;2033.539795
09-01-20 07:00;2414.978516;1995.452759
09-01-20 08:00;2491.036621;1.55644393
09-01-20 09:00;2420.996826;1.464888453
09-01-20 10:00;59.04110718;2140.659912
09-01-20 11:00;2342.033203;1993.255371
09-01-20 12:00;1785.033691;2065.30957
09-01-20 13:00;1848.95166;1798.242188
09-01-20 14:00;1995.983765;2082.796631
09-01-20 15:00;1719.974365;2130.680176
09-01-20 16:00;1590.99707;2119.602051
09-01-20 17:00;1845.008667;1908.29187
09-01-20 18:00;1845.008667;2281.746826
09-01-20 19:00;2022.02832;2323.312988
09-01-20 20:00;0;1.281777382
09-01-20 21:00;2358.012695;1.373332977
09-01-20 22:00;2056.996338;1448.133789
09-01-20 23:00;0;1796.502563
10-01-20 00:00;2607.977539;1218.512573
10-01-20 01:00;1705.966309;1621.814575
10-01-20 02:00;1482.979858;1.464888453
10-01-20 03:00;1849.989258;1.464888453
10-01-20 04:00;0;1017.731262
10-01-20 05:00;0;1857.570068
10-01-20 06:00;0;1933.561157
10-01-20 07:00;1758.989258;1.55644393
10-01-20 08:00;0;1.55644393
10-01-20 09:00;0;1745.872314
10-01-20 10:00;0;1682.699097
10-01-20 11:00;0;1617.786133
10-01-20 12:00;0;1710.348877
10-01-20 13:00;0;1802.179077
10-01-20 14:00;0;1832.483887
10-01-20 15:00;1813.983521;1837.153198
10-01-20 16:00;1829.029175;1812.067017
10-01-20 17:00;1845.008667;1852.534546
10-01-20 18:00;2072.97583;2028.595825
10-01-20 19:00;1978.032837;1974.120361
10-01-20 20:00;2017.981445;1959.562988
10-01-20 21:00;2138.035156;2037.568237
10-01-20 22:00;2210.046631;2096.89624
10-01-20 23:00;2191.991943;2048.005615
11-01-20 00:00;2595.00708;2107.241943
11-01-20 01:00;2590.960449;2105.593994
11-01-20 02:00;2651.039063;1783.959473
11-01-20 03:00;2596.97876;1506.72937
11-01-20 04:00;2835.010742;1893.917603
11-01-20 05:00;2414.978516;1034.943726
11-01-20 06:00;2640.974121;1550.49292
11-01-20 07:00;2742.039307;1506.912476
11-01-20 08:00;2802.01416;1606.799561
11-01-20 09:00;0;1719.6875
11-01-20 10:00;2706.033447;1751.091064
11-01-20 11:00;2700.949219;1672.353271
11-01-20 12:00;2770.989014;1865.810059
11-01-20 13:00;2587.951172;1469.557739
11-01-20 14:00;2557.030029;1849.421631
11-01-20 15:00;2712.051758;2058.625977
11-01-20 16:00;2733.011963;2115.573486
11-01-20 17:00;2756.981201;1748.435913
11-01-20 18:00;2784.99707;2131.412598
11-01-20 19:00;2714.957031;2115.207275
11-01-20 20:00;2747.019775;2086.092773
11-01-20 21:00;2766.008545;2085.909668
11-01-20 22:00;2687.97876;1865.169189
11-01-20 23:00;2788.006348;2020.355835
12-01-20 00:00;2825.049561;2061.647461
12-01-20 01:00;2832.001709;2119.23584
12-01-20 02:00;2759.990234;1720.511475
12-01-20 03:00;2825.983398;2131.046387
12-01-20 04:00;2806.994873;1973.845581
12-01-20 05:00;2736.020996;1599.108887
12-01-20 06:00;2759.990234;1999.572754
12-01-20 07:00;2764.037109;2061.189697
12-01-20 08:00;2778.97876;2129.764648
12-01-20 09:00;2742.039307;2116.031494
12-01-20 10:00;2742.973145;1963.866089
12-01-20 11:00;2778.044922;1925.595825
12-01-20 12:00;2513.034424;1932.64563
12-01-20 13:00;2334.977295;932.493042
12-01-20 14:00;2276.973877;1856.196777
12-01-20 15:00;2623.957031;1835.963013
12-01-20 16:00;2562.010498;1941.434937
12-01-20 17:00;2593.035645;1913.327393
12-01-20 18:00;2549.040283;1801.629639
12-01-20 19:00;2598.016357;1916.440308
12-01-20 20:00;2602.996826;1952.146973
12-01-20 21:00;2571.97168;1892.269653
12-01-20 22:00;1702.957275;1957.914917
12-01-20 23:00;2593.969482;1962.492798
13-01-20 00:00;2626.032227;1.190221906
13-01-20 01:00;2601.959229;1101.138306
13-01-20 02:00;2590.026611;1974.486572
13-01-20 03:00;2543.021973;2036.561157
13-01-20 04:00;2584.008301;2012.390503
13-01-20 05:00;2535.032227;1929.258057
13-01-20 06:00;2789.977783;1.281777382
13-01-20 07:00;2747.019775;1906.186157
13-01-20 08:00;2795.99585;1965.23938
13-01-20 09:00;2741.001709;2018.890991
13-01-20 10:00;2816.022217;13.00088501
13-01-20 11:00;2841.029053;2075.105957
13-01-20 12:00;2913.040527;1.09866631
13-01-20 13:00;2723.984375;1959.28833
13-01-20 14:00;2656.953613;1930.723022
13-01-20 15:00;2860.017822;999.3286133
13-01-20 16:00;2565.953613;1175.756104
13-01-20 17:00;2570.000244;771.8131104
13-01-20 18:00;2664.009521;1856.562988
13-01-20 19:00;2819.965088;1700.643921
13-01-20 20:00;2852.028076;1838.068848
13-01-20 21:00;2912.00293;1781.762085
13-01-20 22:00;2930.991455;1839.80835
13-01-20 23:00;2930.991455;1965.971802
14-01-20 00:00;2871.016602;1174.840576
14-01-20 01:00;2910.965332;1560.563965
14-01-20 02:00;2868.007568;1736.350586
14-01-20 03:00;2918.02124;1787.438599
