Parada;Longitud perfo.;Nº tiros av.;Masa explos.;UCS estim.;Mod. Young;Raz. Poisson;Vol. extraido;GSI;Anisotropia radial;EPD
166;4.8;96;275.8;158;53;0.23;189.630085;65;2.050275745;6040.428082
167;4.8;96;284.77;185;57;0.24;215.34267;65;2.050232839;6181.323385
168;4.8;96;293.9;185;57;0.24;217.5212333;65;2.050169439;6239.669646
169;4.8;96;285.67;185;57;0.24;201.739475;65;2.050172617;5783.020542
170;4.8;91;367.66;185;57;0.24;228.664125;65;2.04998727;6552.615827
171;4.8;96;321.5;185;57;0.24;224.624198;67.5;2.049858569;6432.390678
172;4.8;96;370.54;185;57;0.24;251.5227;67.5;2.050252248;7188.902315
173;4.8;96;298.48;185;57;0.24;236.887044;67.5;2.050399716;6759.13134
174;3.8;91;229;185;57;0.24;196.6211;67.5;2.05079017;5596.043575
175;3.8;91;234.7;185;57;0.24;193.152115;67.5;2.050658864;5487.880355
176;3.8;95;223.8;185;57;0.24;209.1786675;60;2.049106782;5945.136748
177;3.8;91;237.04;185;57;0.24;219.736935;67.5;2.047659359;6246.803275
178;3.8;91;224.88;185;57;0.24;203.05635;67.5;2.046028437;5774.665872
179;3.8;91;227.18;185;57;0.24;174.20216;65;2.044421488;4955.185788
180;4.5;95;273.06;185;57;0.24;192.37927;65;2.04271947;5473.890872
181;4.5;95;305.73;185;57;0.24;219.847928;65;2.041320684;6256.438949
182;3.8;95;228.82;185;57;0.24;164.30745;60;2.040505401;4672.861988
183;4;95;250.7;185;57;0.24;173.56962;65;2.039664753;4934.483095
184;4.5;95;305.83;185;57;0.24;205.2777;65;2.038869892;5832.570532
185;4.5;95;281.7;185;57;0.24;217.3392225;65;2.038291947;6170.916334
186;4.5;95;247.6;185;57;0.24;190.07835;65;2.038029436;5391.317513
187;4.5;95;293.5;185;57;0.24;195.58284;65;2.037506005;5545.393616
188;4.5;95;284;185;57;0.24;228.1123075;65;2.037175502;6463.618482
189;4.5;91;282;185;57;0.24;197.43075;65;2.036724641;5589.760318
190;4.5;91;260;185;57;0.24;163.5336875;67.5;2.036283806;4626.919161
191;4.5;98;314.6;185;57;0.24;189.2556875;65;2.035793577;5350.654375
192;4.5;95;313.13;185;57;0.24;213.9336;65;2.032893993;6069.375716
193;4.3;91;305.33;185;57;0.24;172.60428;65;2.031672371;4899.157633
194;5.3;94;360.54;185;57;0.24;218.3984333;65;2.029346771;6211.83414
195;3.5;94;231;185;57;0.24;159.3587535;65;2.027550824;4540.183315
196;3.8;96;245.44;185;57;0.24;176.17528;65;2.024222955;5034.931099
197;3.8;96;283.6;185;57;0.24;164.14965;65;2.023097164;4697.239787
198;4;96;273.24;185;57;0.24;167.754875;65;2.022076369;4804.906857
199;4;94;279;185;57;0.24;174.2125;65;2.021142494;4993.470468
200;4;99;279;185;57;0.24;172.96;65;2.020497205;4955.158674
201;4;95;286.5;185;57;0.24;131.9793;65;2.019487384;3780.324716
202;4.8;95;305.93;185;57;0.24;193.1403;65;2.019487384;5532.178529
203;4;104;259.93;185;57;0.24;193.347;55;2.018841193;5535.517991
204;4;100;342;185;57;0.24;172.8496;65;2.018095169;4946.040169
205;4.8;100;366;185;57;0.24;187.48244;65;2.017381366;5362.091033
206;4.8;100;369;185;57;0.24;221.0688;65;2.016650531;6319.415484
207;4.8;100;380;185;57;0.24;234.20475;65;2.015902306;6691.489046
208;4.8;97;401;185;57;0.24;212.566;55;2.01520198;6070.090114
209;4.8;99;282.6;185;57;0.24;218.4292;65;2.01518914;6239.40397
210;4.8;97;312;185;57;0.24;182.8656;65;2.014067354;5213.223457
211;4.8;98;312;185;57;0.24;185.8804;65;2.013257175;5296.142668
212;4.8;100;320;185;57;0.24;191.97602;65;2.012546567;5467.077969
213;4.8;97;317;185;57;0.24;147.004;65;2.011488324;4186.800379
214;3.6;98;260;185;57;0.24;133.3921667;65;2.010555804;3796.703357
215;3.6;104;232;185;57;0.24;138.9817333;65;2.009833741;3951.993562
216;4;101;305;185;57;0.24;182.5959333;65;2.008818144;5189.787335
217;3.6;101;287;185;57;0.24;167.45215;65;2.007591595;4760.292976
