pillar_id;area;heterogeneidad_geologica;calidad_roca;tiempo_solicitacion;altura_extraida;densidad_energia_sismica;resistencia_traccion;modulo_general_deformacion
NS_114;295.0845;Baja;Calidad muy mala;3.666666667;271;55.38522762;0.184;13.13
NS_115;248.9047;Baja;Calidad muy mala;4;274;51.46852536;0.184;13.13
NS_116;295.0845;Media;Calidad muy mala;4.333333333;279;48.16069634;0.184;13.13
NS_117;248.9047;Media;Calidad muy mala;4.333333333;288;45.95844689;0.184;13.13
NS_118;295.0845;Baja;Calidad muy mala;25.33333333;292;44.45848083;0.184;13.13
NS_119;295.0845;Baja;Calidad muy mala;25.33333333;285;44.07384711;0.184;13.13
NS_120;295.7595;Media;Calidad regular;23;275;53.16953507;0.38052;18.8576
NS_121;295.7595;Baja;Calidad muy mala;2;273;56.60404104;0.245;15.47
NS_122;295.7595;Baja;Calidad muy mala;1.666666667;272;58.33074874;0.21935;14.341
NS_123;295.7595;Media;Calidad muy mala;2;271;58.0583886;0.184;13.13
NS_124;295.7595;Baja;Calidad muy mala;2.666666667;271;56.16908471;0.184;13.13
NS_125;295.7595;Baja;Calidad muy mala;2.666666667;272;53.35716119;0.184;13.13
NS_126;295.7595;Baja;Calidad muy mala;2.666666667;274;50.0015526;0.184;13.13
NS_127;295.7595;Media;Calidad muy mala;3;278;47.07183008;0.184;13.13
NS_128;295.7595;Media;Calidad muy mala;3.333333333;286;45.64525306;0.184;13.13
NS_129;295.7595;Media;Calidad muy mala;3.666666667;292;44.94871447;0.2365;14.865
NS_130;295.7595;Baja;Calidad muy mala;25.33333333;288;47.86170556;0.184;13.13
NS_131;347.3086;Media;Calidad buena;23;276;50.20030811;0.4095;17.5325
NS_132;347.3086;Baja;Calidad mala;5;274;52.9330681;0.259;15.862
NS_133;347.3086;Baja;Calidad muy mala;1.666666667;272;54.6557403;0.2389;15.236
NS_134;347.3086;Media;Calidad muy mala;2;272;54.66394582;0.24195;15.353
NS_135;347.3086;Baja;Calidad muy mala;2;272;53.47372693;0.184;13.13
NS_136;347.3086;Baja;Calidad muy mala;2.666666667;272;51.31947469;0.184;13.13
NS_137;347.3086;Baja;Calidad muy mala;2.666666667;274;48.45884541;0.184;13.13
NS_138;347.3086;Media;Calidad muy mala;2.666666667;278;45.96735641;0.184;13.13
NS_139;347.3086;Media;Calidad muy mala;3;285;45.01547982;0.184;13.13
NS_140;347.3086;Baja;Calidad mala;3.333333333;292;47.4358516;0.28165;16.3571
NS_141;347.3086;Media;Calidad muy mala;3.666666667;291;48.30485717;0.247;15.212
NS_142;347.3086;Baja;Calidad muy mala;25.33333333;282;53.17898607;0.184;13.13
NS_143;345.9426;Baja;Calidad mala;23;275;50.01184697;0.308;17.234
NS_144;345.9426;Baja;Calidad muy mala;1.666666667;273;51.65548795;0.245;15.47
NS_145;345.9426;Media;Calidad muy mala;2;272;51.72099192;0.2267;14.768
NS_146;345.9426;Baja;Calidad muy mala;2.333333333;272;50.845468;0.184;13.13
NS_147;345.9426;Baja;Calidad muy mala;2.333333333;273;49.58337041;0.184;13.13
NS_148;345.9426;Baja;Calidad muy mala;3;274;46.89356293;0.184;13.13
NS_149;345.9426;Media;Calidad muy mala;3;277;44.77231001;0.184;13.13
NS_150;345.9426;Media;Calidad muy mala;3;283;44.4404367;0.184;13.13
NS_151;345.9426;Media;Calidad mala;3.333333333;290;45.7371985;0.2848;16.4612
NS_152;345.9426;Media;Calidad mala;3.666666667;292;49.12637472;0.289;16.6
NS_153;345.9426;Baja;Calidad muy mala;24.66666667;285;73.00781008;0.1924;13.4076
NS_154;272.8603;Baja;Calidad regular;22.66666667;275;48.08811252;0.343;18.214
NS_155;272.8603;Baja;Calidad mala;2;274;49.69397868;0.2548;15.7444
NS_156;272.8603;Baja;Calidad muy mala;2.333333333;273;49.61034551;0.245;15.47
NS_157;272.8603;Media;Calidad muy mala;2.333333333;272;48.60728793;0.2084;14.066
NS_158;272.8603;Baja;Calidad muy mala;2.333333333;273;47.99984916;0.184;13.13
NS_159;272.8603;Media;Calidad muy mala;2.333333333;274;45.80120845;0.184;13.13
NS_160;272.8603;Baja;Calidad muy mala;3.333333333;277;43.87926968;0.184;13.13
NS_161;272.8603;Baja;Calidad muy mala;3.333333333;281;43.63932757;0.184;13.13
NS_162;272.8603;Media;Calidad mala;3.333333333;288;45.67256788;0.2869;16.5306
NS_163;272.8603;Media;Calidad mala;3.333333333;292;48.2141561;0.289;16.6
NS_164;272.8603;Baja;Calidad muy mala;3.666666667;287;78.85791849;0.21865;14.2751
NS_165;272.8603;Baja;Calidad muy mala;22.33333333;279;69.55555111;0.184;13.13
NS_166;271.301;Media;Calidad regular;22.66666667;276;46.75600934;0.357;18.606
NS_167;271.301;Baja;Calidad mala;2.333333333;274;48.62309909;0.2548;15.7444
NS_168;271.301;Baja;Calidad muy mala;2.333333333;273;47.97302856;0.245;15.47
NS_169;271.301;Media;Calidad muy mala;2.333333333;273;46.77183256;0.245;15.47
NS_170;271.301;Baja;Calidad muy mala;2.333333333;273;46.24885358;0.18522;13.1768
NS_171;271.301;Media;Calidad muy mala;2;274;44.42504354;0.184;13.13
NS_172;271.301;Baja;Calidad muy mala;2;276;43.11517857;0.184;13.13
NS_173;271.301;Media;Calidad muy mala;2;280;42.92806206;0.184;13.13
NS_174;271.301;Media;Calidad mala;2;286;45.30984732;0.2806;16.3224
NS_175;271.301;Baja;Calidad mala;2;291;49.25638796;0.289;16.6
NS_176;271.301;Media;Calidad muy mala;2.333333333;288;64.06488999;0.247;15.212
NS_177;271.301;Baja;Calidad muy mala;22.33333333;280;80.34241848;0.184;13.13
NS_178;194.7098;Media;Calidad regular;22.33333333;275;45.69501027;0.3836;17.316
NS_179;194.7098;Baja;Calidad muy mala;2.666666667;275;48.21387144;0.245;15.47
NS_180;194.7098;Baja;Calidad mala;2.333333333;273;46.88456859;0.2562;15.7836
NS_181;194.7098;Media;Calidad muy mala;2.333333333;273;45.37073907;0.245;15.47
NS_182;194.7098;Baja;Calidad muy mala;2.333333333;273;44.62145442;0.20535;13.949
NS_183;194.7098;Media;Calidad muy mala;2.333333333;275;43.17007572;0.184;13.13
NS_184;194.7098;Baja;Calidad muy mala;2.333333333;276;41.67402351;0.184;13.13
NS_185;194.7098;Baja;Calidad muy mala;2;279;43.33365948;0.184;13.13
NS_186;194.7098;Media;Calidad muy mala;2;284;45.89913764;0.23125;14.6915
NS_187;194.7098;Baja;Calidad mala;2;289;47.44986932;0.289;16.6
NS_188;194.7098;Media;Calidad muy mala;2.333333333;289;53.67532074;0.27325;16.0795
NS_189;194.7098;Baja;Calidad muy mala;22;281;62.17527107;0.184;13.13
NS_190;194.7749;Media;Calidad buena;22.33333333;275;44.60000809;0.4536;14.189
NS_191;194.7749;Baja;Calidad muy mala;22.33333333;274;48.18649035;0.245;15.47
NS_192;194.7749;Baja;Calidad mala;2.333333333;274;45.86075065;0.2576;15.8228
NS_193;194.7749;Media;Calidad muy mala;2.333333333;273;44.25854642;0.245;15.47
NS_194;194.7749;Baja;Calidad muy mala;2.333333333;274;43.40045249;0.22365;14.651
NS_195;194.7749;Media;Calidad muy mala;2.333333333;275;42.00972562;0.184;13.13
NS_196;194.7749;Baja;Calidad muy mala;2.333333333;276;40.5054344;0.184;13.13
NS_197;194.7749;Baja;Calidad muy mala;2;279;48.46809299;0.184;13.13
NS_198;194.7749;Media;Calidad muy mala;2;283;45.01028427;0.1966;13.5464
NS_199;194.7749;Baja;Calidad mala;2.333333333;288;44.2223723;0.289;16.6
NS_200;194.7749;Media;Calidad mala;2.333333333;288;49.95636563;0.289;16.6
NS_201;194.7749;Baja;Calidad muy mala;22.33333333;282;48.68515403;0.18505;13.1647
NS_202;347.3801;Media;Calidad buena;22;274;42.83151795;0.4732;12.703
NS_203;347.4369;Alta;Calidad mala;22.33333333;274;48.28683316;0.26952;16.1484
NS_204;347.4937;Baja;Calidad mala;1.666666667;274;45.3143429;0.259;15.862
NS_205;346.7385;Media;Calidad muy mala;2.333333333;274;43.12485654;0.245;15.47
NS_206;384.409;Alta;Calidad muy mala;2.333333333;274;41.6827435;0.23795;15.1884
NS_207;369.2179;Baja;Calidad muy mala;2.333333333;275;40.29953009;0.184;13.13
NS_208;355.0905;Baja;Calidad muy mala;2.333333333;276;38.99794589;0.184;13.13
NS_209;345.3233;Baja;Calidad muy mala;2.333333333;279;39.91924759;0.184;13.13
NS_210;350.7341;Media;Calidad muy mala;2.333333333;282;45.92335476;0.1924;13.4076
NS_211;347.8899;Baja;Calidad mala;2.333333333;286;43.23651096;0.2785;16.253
NS_212;347.9437;Media;Calidad mala;2.333333333;288;41.82188558;0.289;16.6
NS_213;347.7794;Baja;Calidad muy mala;22;283;40.1501704;0.19975;13.6505
NS_214;348.5064;Baja;Calidad muy mala;22.33333333;277;35.09257482;0.184;13.13
NS_215;183.5212;Baja;Calidad muy mala;22.33333333;277;37.29895271;0.184;13.13
NS_216;356.6527;Baja;Calidad muy mala;2;279;36.69745901;0.184;13.13
NS_217;327.8829;Alta;Calidad muy mala;2.333333333;281;37.46666906;0.184;13.13
NS_218;347.5109;Baja;Calidad muy mala;2;285;37.75897692;0.2701;15.9754
NS_219;347.5007;Media;Calidad mala;2;287;36.93939499;0.289;16.6
NS_220;347.1665;Baja;Calidad muy mala;2;285;35.25194154;0.22075;14.3445
NS_221;347.9204;Baja;Calidad muy mala;22;278;32.36249524;0.184;13.13
NS_222;582.6417;Baja;Calidad mala;2.333333333;284;34.03483212;0.27535;16.1489
NS_223;318.7125;Baja;Calidad mala;1.666666667;287;34.58916258;0.289;16.6
NS_224;346.7384;Baja;Calidad muy mala;1.666666667;286;32.37893339;0.25015;15.3161
NS_225;347.5763;Baja;Calidad muy mala;21.33333333;280;30.13652015;0.184;13.13
NS_226;340.3037;Media;Calidad mala;2.333333333;287;32.33914609;0.289;16.6
NS_227;356.1888;Baja;Calidad muy mala;2.333333333;288;30.45955483;0.23125;14.6915
NS_228;347.8512;Baja;Calidad muy mala;2.333333333;282;28.49055522;0.184;13.13
NS_229;347.7819;Baja;Calidad muy mala;21.33333333;276;26.19442522;0.184;13.13
NS_230;662.9659;Media;Calidad muy mala;2;292;27.75368478;0.19975;13.6505
NS_231;359.9252;Baja;Calidad muy mala;2;286;27.22330597;0.184;13.13
NS_232;271.6626;Baja;Calidad muy mala;21;278;25.34661575;0.184;13.13
NS_233;234.093;Baja;Calidad muy mala;20.66666667;278;22.85944434;0.184;13.13
NS_234;341.1232;Baja;Calidad buena;21.66666667;274;40.40814663;0.483;11.96
NS_235;347.5113;Alta;Calidad regular;22;271;47.39476834;0.3456;16.2265
NS_236;347.5113;Media;Calidad mala;2;273;45.24126146;0.24632;15.5039
NS_237;346.7024;Baja;Calidad mala;2;274;41.67852427;0.259;15.862
NS_238;457.145;Media;Calidad mala;2;274;40.01001797;0.28108;16.3966
NS_239;347.5113;Media;Calidad buena;21.33333333;268;45.86615298;0.4277;13.9725
NS_240;347.5113;Media;Calidad muy mala;21.33333333;272;45.71283898;0.245;15.47
NS_241;346.7053;Baja;Calidad mala;1.666666667;274;40.99880055;0.259;15.862
NS_242;502.4422;Media;Calidad mala;1.666666667;275;38.73777104;0.28548;16.5096
NS_243;347.5113;Media;Calidad buena;21.33333333;267;42.52902077;0.47516;12.5544
NS_244;347.5113;Baja;Calidad mala;21.33333333;269;52.63330449;0.287;16.646
NS_245;346.7083;Baja;Calidad mala;2.333333333;273;40.83930709;0.259;15.862
NS_246;347.5262;Media;Calidad mala;2.333333333;275;37.73405261;0.289;16.6
NS_247;347.5113;Media;Calidad regular;20.66666667;267;49.10242586;0.364;18.802
NS_248;346.7112;Baja;Calidad mala;2.666666667;271;42.59138046;0.2618;15.9404
NS_249;347.5342;Media;Calidad mala;2.333333333;275;36.49027531;0.28724;16.5548
NS_250;347.6489;Media;Calidad buena;20.66666667;267;36.7699432;0.39284;18.7956
NS_251;346.793;Baja;Calidad mala;2.666666667;271;41.01242576;0.301;17.038
NS_252;347.5627;Media;Calidad mala;2.666666667;275;35.24614366;0.29412;16.7607
NS_253;347.5224;Media;Calidad buena;20.33333333;267;31.6744235;0.42126;16.6409
NS_254;346.7282;Baja;Calidad regular;20.33333333;271;35.03206465;0.3738;19.0764
NS_255;347.5614;Alta;Calidad mala;2.333333333;276;33.70057006;0.29324;16.7381
NS_256;347.5224;Media;Calidad buena;20.33333333;270;28.45089978;0.45066;14.4119
NS_257;346.7312;Media;Calidad regular;20.33333333;272;31.16687841;0.385;19.39
NS_258;347.5694;Media;Calidad regular;3.333333333;276;32.1588183;0.313;17.2975
NS_259;346.7341;Media;Calidad buena;20;275;28.54181225;0.38794;19.1671
NS_260;346.5774;Media;Calidad regular;3;277;32.46602979;0.337;17.995
NS_261;346.737;Media;Calidad buena;19.66666667;277;26.23971154;0.41734;16.9381
NS_262;347.5854;Media;Calidad regular;2.666666667;279;36.71619434;0.35332;18.4693
NS_263;346.74;Media;Calidad buena;19.66666667;279;24.2597495;0.45066;14.4119
NS_264;347.5934;Muy alta;Calidad regular;6;281;27.88171679;0.36772;18.8878
NS_265;346.7429;Media;Calidad buena;18.66666667;281;22.64746253;0.4732;12.703
NS_266;347.6014;Muy alta;Calidad regular;18.66666667;282;24.43212865;0.37924;19.2226
NS_267;344.7509;Baja;Calidad buena;18.33333333;284;21.34846536;0.483;11.96
NS_268;347.6095;Media;Calidad buena;18.33333333;284;22.63648741;0.38892;19.0928
NS_269;302.8804;Baja;Calidad muy mala;20.33333333;280;22.30115057;0.184;13.13
NS_270;545.5652;Baja;Calidad muy mala;15.33333333;281;24.17672343;0.184;13.13
NS_271;274.5984;Baja;Calidad muy mala;20.33333333;283;21.67146747;0.184;13.13
NS_272;379.4852;Baja;Calidad muy mala;2;289;25.43006499;0.184;13.13
NS_273;378.3154;Baja;Calidad muy mala;2;288;22.88689526;0.184;13.13
NS_274;387.137;Baja;Calidad muy mala;20;286;20.80761169;0.184;13.13
NS_275;256.3878;Media;Calidad mala;2;289;30.22224032;0.289;16.6
NS_276;347.4686;Baja;Calidad muy mala;2;294;24.25591063;0.184;13.13
NS_277;347.4686;Baja;Calidad muy mala;3;293;21.97543674;0.184;13.13
NS_278;346.9947;Baja;Calidad muy mala;20;289;20.20441025;0.184;13.13
NS_279;346.5932;Baja;Calidad muy mala;19;284;18.87676923;0.184;13.13
NS_280;411.2457;Alta;Calidad muy mala;2.333333333;282;34.44284262;0.184;13.13
NS_281;269.2102;Baja;Calidad mala;2.333333333;286;31.20360883;0.2827;16.3918
NS_282;323.3559;Baja;Calidad mala;2.333333333;292;28.43603061;0.289;16.6
NS_283;347.2899;Baja;Calidad muy mala;2;297;25.58350318;0.184;13.13
NS_284;293.8207;Baja;Calidad muy mala;2.333333333;299;23.17819037;0.184;13.13
NS_285;347.5475;Baja;Calidad muy mala;3;297;21.21711461;0.184;13.13
NS_286;262.9228;Baja;Calidad muy mala;19.66666667;292;19.82747016;0.184;13.13
NS_287;452.7101;Baja;Calidad muy mala;19;284;18.55909356;0.184;13.13
NS_288;253.29;Baja;Calidad muy mala;2.333333333;280;34.66922933;0.184;13.13
NS_289;284.4768;Media;Calidad muy mala;2.666666667;283;32.31955291;0.184;13.13
NS_290;299.7789;Baja;Calidad mala;2.333333333;288;29.39845157;0.2869;16.5306
NS_291;347.3198;Alta;Calidad mala;2;295;26.81125087;0.289;16.6
NS_292;347.0996;Baja;Calidad muy mala;2.333333333;302;24.33537013;0.184;13.13
NS_293;347.1385;Baja;Calidad muy mala;2;303;22.25950196;0.184;13.13
NS_294;347.4058;Baja;Calidad muy mala;2.666666667;300;20.58129092;0.184;13.13
NS_295;308.4705;Baja;Calidad muy mala;19;293;19.41094246;0.184;13.13
NS_296;518.0846;Baja;Calidad muy mala;2.333333333;277;36.48242657;0.184;13.13
NS_297;347.5447;Baja;Calidad muy mala;2.666666667;280;33.14124183;0.184;13.13
NS_298;347.5389;Alta;Calidad muy mala;2.666666667;284;30.46735084;0.184;13.13
NS_299;347.5331;Baja;Calidad mala;2.333333333;291;27.877709;0.289;16.6
NS_300;320.3778;Alta;Calidad mala;2.333333333;299;25.48291011;0.2785;16.253
NS_301;347.5216;Baja;Calidad muy mala;2;306;23.27898122;0.184;13.13
NS_302;347.5159;Baja;Calidad muy mala;3;307;21.49082195;0.184;13.13
NS_303;263.6883;Baja;Calidad muy mala;2;303;20.18032628;0.184;13.13
NS_304;264.8429;Baja;Calidad muy mala;12;294;19.06314422;0.184;13.13
NS_305;394.0115;Baja;Calidad muy mala;2;276;37.85848476;0.184;13.13
NS_306;347.5182;Baja;Calidad muy mala;2.666666667;278;34.3127595;0.184;13.13
NS_307;347.5182;Baja;Calidad muy mala;2.666666667;282;31.45670412;0.184;13.13
NS_308;347.5182;Media;Calidad muy mala;2.333333333;286;28.76296297;0.184;13.13
NS_309;347.5182;Baja;Calidad mala;2.333333333;294;26.36717121;0.289;16.6
NS_310;320.9761;Media;Calidad muy mala;2;304;24.1945175;0.27325;16.0795
NS_311;347.5182;Baja;Calidad muy mala;2.666666667;310;22.38606437;0.184;13.13
NS_312;264.3978;Baja;Calidad muy mala;2;310;20.9940565;0.184;13.13
NS_313;308.8002;Baja;Calidad muy mala;2.666666667;304;19.75773492;0.184;13.13
NS_314;347.5182;Baja;Calidad muy mala;2.666666667;276;36.00777298;0.18705;13.247
NS_315;347.5182;Baja;Calidad muy mala;2.666666667;279;32.68412042;0.184;13.13
NS_316;347.5182;Baja;Calidad muy mala;2.333333333;283;29.86797747;0.184;13.13
NS_317;320.3424;Media;Calidad muy mala;2.333333333;289;27.32686168;0.184;13.13
NS_318;347.5182;Baja;Calidad mala;2;298;25.1162155;0.2806;16.3224
NS_319;347.5182;Alta;Calidad muy mala;2.666666667;308;23.26614651;0.26275;15.7325
NS_320;347.5182;Baja;Calidad muy mala;2;314;21.64505507;0.184;13.13
NS_321;337.6002;Baja;Calidad muy mala;2;312;20.41606582;0.184;13.13
NS_322;362.4596;Media;Calidad mala;3;275;36.30034233;0.2582;15.809
NS_323;347.5182;Media;Calidad muy mala;2.666666667;277;34.49751696;0.19925;13.715
NS_324;347.5182;Baja;Calidad muy mala;2.333333333;280;31.22228233;0.184;13.13
NS_325;347.5182;Baja;Calidad muy mala;2.666666667;284;28.39941114;0.184;13.13
NS_326;320.9761;Baja;Calidad muy mala;2;291;25.90896006;0.184;13.13
NS_327;347.5182;Media;Calidad muy mala;2.666666667;301;24.1207907;0.26275;15.7325
NS_328;263.0667;Alta;Calidad muy mala;2.333333333;310;22.5751141;0.24175;15.0385
NS_329;344.1771;Baja;Calidad muy mala;2;317;21.0655224;0.184;13.13
NS_330;347.5182;Media;Calidad muy mala;2.333333333;278;33.03861204;0.2145;14.3
NS_331;320.3424;Baja;Calidad muy mala;2.666666667;281;29.79568096;0.184;13.13
NS_332;347.5182;Baja;Calidad muy mala;2;286;26.98758793;0.184;13.13
NS_333;347.5182;Baja;Calidad muy mala;2.666666667;293;24.81081727;0.184;13.13
NS_334;254.5414;Alta;Calidad muy mala;2.333333333;303;23.31043154;0.226;14.518
NS_335;308.6465;Alta;Calidad muy mala;2;313;21.89700814;0.205;13.824
NS_336;360.2373;Alta;Calidad mala;2.333333333;277;34.69860552;0.2582;15.809
NS_337;347.5182;Media;Calidad muy mala;2.666666667;279;31.14904881;0.22975;14.885
NS_338;320.965;Baja;Calidad muy mala;2;283;28.00066663;0.184;13.13
NS_339;347.5182;Baja;Calidad muy mala;2.666666667;287;25.65012068;0.184;13.13
NS_340;347.5182;Baja;Calidad muy mala;2.333333333;295;23.81120264;0.184;13.13
NS_341;341.5137;Media;Calidad muy mala;2;305;22.53533004;0.21865;14.2751
NS_342;164.8006;Baja;Calidad muy mala;1.333333333;314;21.41834409;0.1882;13.2688
NS_343;463.5349;Alta;Calidad mala;2.666666667;278;32.97695425;0.2582;15.809
NS_344;347.5182;Baja;Calidad muy mala;2.333333333;280;29.38177858;0.24012;15.2828
NS_345;347.5182;Baja;Calidad muy mala;2.666666667;283;26.52618183;0.184;13.13
NS_346;347.5182;Baja;Calidad muy mala;2.333333333;288;24.52482163;0.184;13.13
NS_347;267.0715;Baja;Calidad muy mala;2.333333333;296;23.11031932;0.184;13.13
NS_348;224.1113;Baja;Calidad muy mala;2.333333333;307;21.9529362;0.19135;13.3729
NS_349;194.5996;Alta;Calidad mala;2.333333333;277;32.40817844;0.2824;16.4305
NS_350;402.8193;Alta;Calidad mala;2.333333333;279;30.38110357;0.2582;15.809
NS_351;347.6226;Baja;Calidad mala;2;281;27.50454601;0.24764;15.5378
NS_352;347.6434;Baja;Calidad muy mala;2.333333333;284;25.24343031;0.19132;13.4108
NS_353;259.5254;Baja;Calidad muy mala;2.333333333;288;23.75529346;0.184;13.13
NS_354;295.2088;Baja;Calidad muy mala;2.333333333;297;22.45907139;0.184;13.13
NS_355;177.2647;Media;Calidad mala;3;278;30.95799072;0.289;16.6
NS_356;294.767;Alta;Calidad mala;2.666666667;280;28.37178373;0.289;16.6
NS_357;347.5222;Baja;Calidad muy mala;2.333333333;282;26.00828779;0.245;15.47
NS_358;347.5222;Baja;Calidad muy mala;3;285;24.15469464;0.22365;14.651
NS_359;327.4237;Baja;Calidad muy mala;2.666666667;289;22.96172148;0.184;13.13
NS_360;309.243;Media;Calidad mala;3;279;29.57214525;0.289;16.6
NS_361;347.5735;Alta;Calidad mala;2.666666667;281;26.89361139;0.278;16.3175
NS_362;347.5111;Baja;Calidad muy mala;3.333333333;282;24.74977659;0.245;15.47
NS_363;326.4805;Baja;Calidad muy mala;3;285;23.25695189;0.24134;15.3296
NS_364;400.9407;Media;Calidad mala;2.666666667;280;28.53433354;0.289;16.6
NS_365;261.9976;Alta;Calidad mala;2.666666667;281;25.67192341;0.2582;15.809
NS_366;422.3596;Baja;Calidad muy mala;3;283;23.59545186;0.245;15.47
NS_367;707.4252;Media;Calidad mala;5.666666667;281;26.39055892;0.2846;16.487
NS_368;309.453;Alta;Calidad muy mala;2.666666667;282;24.46275977;0.245;15.47
NS_369;460.3496;Alta;Calidad regular;6.333333333;283;23.95044216;0.3082;17.158
NS_370;329.3654;Baja;Calidad mala;3.333333333;283;23.74842064;0.28328;16.4531
NS_371;246.5711;Alta;Calidad muy mala;2.333333333;283;23.52523846;0.245;15.47
NS_372;272.087;Baja;Calidad buena;12.33333333;285;20.38968762;0.483;11.96
NS_373;347.2217;Media;Calidad buena;12.33333333;286;21.36837471;0.4144;17.161
NS_374;249.7975;Media;Calidad regular;6.333333333;284;22.2203114;0.3466;18.274
NS_375;237.7749;Media;Calidad mala;3.666666667;284;22.74099932;0.289;16.6
NS_376;225.246;Alta;Calidad muy mala;3;284;22.90015054;0.245;15.47
NS_377;228.2101;Baja;Calidad muy mala;3;285;22.73946905;0.245;15.47
NS_378;233.8187;Baja;Calidad muy mala;2.666666667;287;22.54203033;0.245;15.47
NS_379;232.3463;Baja;Calidad muy mala;2.666666667;291;22.34993202;0.18583;13.2002
NS_380;231.8186;Baja;Calidad muy mala;2.666666667;298;21.9495227;0.184;13.13
NS_381;231.7818;Baja;Calidad muy mala;2.666666667;307;21.55467302;0.184;13.13
NS_382;231.7073;Baja;Calidad muy mala;2.666666667;315;21.09358886;0.184;13.13
NS_383;231.3888;Baja;Calidad muy mala;2.333333333;317;20.58739775;0.184;13.13
NS_384;231.6171;Baja;Calidad muy mala;2.333333333;313;20.02907871;0.184;13.13
NS_385;231.8941;Baja;Calidad muy mala;2.333333333;305;19.43923412;0.184;13.13
NS_386;231.1914;Baja;Calidad muy mala;2.333333333;295;18.84125669;0.184;13.13
NS_387;224.895;Baja;Calidad muy mala;6.333333333;284;18.25243004;0.184;13.13
NS_388;214.5714;Baja;Calidad muy mala;18.33333333;276;17.68288338;0.184;13.13
NS_389;644.9389;Baja;Calidad muy mala;18.33333333;279;17.88956395;0.184;13.13
NS_390;234.0911;Media;Calidad buena;13;286;20.7711235;0.4046;17.904
NS_391;226.7466;Media;Calidad regular;6;283;21.5516178;0.354;18.4965
NS_392;226.5964;Baja;Calidad mala;4;284;22.10391167;0.289;16.6
NS_393;232.6882;Muy alta;Calidad muy mala;2.666666667;285;22.58924813;0.245;15.47
NS_394;230.8689;Baja;Calidad muy mala;3;286;22.21253008;0.245;15.47
NS_395;230.8391;Baja;Calidad muy mala;3;288;22.0682006;0.245;15.47
NS_396;230.8411;Baja;Calidad muy mala;2.666666667;292;21.92279983;0.1962;13.598
NS_397;118.083;Baja;Calidad muy mala;2.666666667;297;21.66673387;0.184;13.13
NS_398;85.475;Baja;Calidad muy mala;2.666666667;302;21.44584497;0.184;13.13
NS_399;230.7426;Baja;Calidad muy mala;2.666666667;309;21.20748898;0.184;13.13
NS_400;230.8994;Baja;Calidad muy mala;2.666666667;316;20.78034943;0.184;13.13
NS_401;230.8686;Baja;Calidad muy mala;2.333333333;318;20.30022335;0.184;13.13
NS_402;230.8866;Baja;Calidad muy mala;2.333333333;314;19.77343028;0.184;13.13
NS_403;230.8791;Baja;Calidad muy mala;2.333333333;305;19.2177983;0.184;13.13
NS_404;230.535;Baja;Calidad muy mala;2.666666667;295;18.6555326;0.184;13.13
NS_405;220.3039;Baja;Calidad muy mala;2.666666667;284;18.10750092;0.184;13.13
NS_406;101.8166;Baja;Calidad muy mala;18.33333333;275;17.59602555;0.18715;13.2341
NS_407;441.6789;Media;Calidad mala;16.33333333;271;16.11217409;0.289;16.6
NS_408;495.838;Media;Calidad mala;16.66666667;269;15.78923343;0.289;16.6
NS_409;418.5774;Media;Calidad mala;16.33333333;266;15.95990973;0.289;16.6
NS_410;559.2209;Media;Calidad muy mala;16.66666667;269;15.90858403;0.23125;14.6915
NS_411;417.912;Baja;Calidad mala;16.66666667;265;15.94389835;0.289;16.6
NS_412;418.1283;Media;Calidad mala;16.33333333;266;16.20914254;0.289;16.6
NS_413;557.4125;Media;Calidad muy mala;16.66666667;270;16.24859955;0.184;13.13
NS_414;418.2447;Baja;Calidad muy mala;16.66666667;264;16.09065909;0.26275;15.7325
NS_415;371.8967;Baja;Calidad mala;16.66666667;265;16.19696799;0.289;16.6
NS_416;411.8297;Baja;Calidad mala;16.33333333;270;16.50623195;0.289;16.6
NS_417;550.7097;Baja;Calidad muy mala;17;272;16.6959935;0.184;13.13
NS_418;442.7534;Media;Calidad muy mala;16.66666667;264;16.36228433;0.2365;14.865
NS_419;418.2447;Media;Calidad regular;4.666666667;265;16.32944105;0.3178;17.437
NS_420;416.3466;Media;Calidad mala;4.666666667;269;16.52947984;0.289;16.6
NS_421;417.0054;Media;Calidad mala;16;275;17.05737408;0.289;16.6
NS_422;526.795;Baja;Calidad muy mala;18.33333333;274;17.25148801;0.184;13.13
NS_423;347.5708;Baja;Calidad muy mala;18.33333333;266;16.70114938;0.21025;13.9975
NS_424;418.2447;Alta;Calidad regular;2.666666667;264;16.55088127;0.3514;18.4135
NS_425;418.2447;Media;Calidad regular;4.666666667;268;16.64064034;0.3658;18.832
NS_426;417.912;Media;Calidad regular;4.666666667;273;17.00112223;0.3082;17.158
NS_427;409.466;Media;Calidad mala;16;282;17.76033832;0.289;16.6
NS_428;321.0163;Media;Calidad muy mala;18.33333333;269;17.12916281;0.1945;13.477
NS_429;347.5708;Alta;Calidad mala;15.33333333;264;16.77223078;0.2806;16.3224
NS_430;347.5708;Alta;Calidad muy mala;16.66666667;268;17.11464311;0.3103;17.0935
NS_431;347.5708;Baja;Calidad regular;3;265;16.90318932;0.38116;19.2784
NS_432;418.2447;Media;Calidad regular;4;266;16.84422629;0.37828;19.1947
NS_433;418.2447;Baja;Calidad regular;4.666666667;272;17.04050013;0.385;19.39
NS_434;416.1984;Baja;Calidad regular;5.333333333;278;17.59366861;0.385;19.39
