pillar_id;area;heterogeneidad_geologica;calidad_roca;tiempo_solicitacion;altura_extraida;densidad_energia_sismica;resistencia_traccion;modulo_general_deformacion
NS_799;347.5192;Alta;Calidad mala;5;321;38.19513218;0.289;16.6
NS_800;347.5192;Baja;Calidad mala;3.333333333;335;33.97643529;0.289;16.6
NS_801;347.5192;Baja;Calidad mala;3.333333333;343;29.81438852;0.289;16.6
NS_802;347.5192;Baja;Calidad mala;3.333333333;344;26.26727887;0.289;16.6
NS_803;347.5192;Alta;Calidad mala;3;340;23.19443797;0.289;16.6
NS_804;347.5192;Baja;Calidad mala;3;332;20.47773987;0.289;16.6
NS_805;344.7416;Baja;Calidad regular;12.66666667;284;18.70126448;0.35524;18.5251
NS_806;336.9662;Baja;Calidad mala;6;290;20.45939175;0.27512;16.3052
NS_807;328.4017;Media;Calidad muy mala;5;295;22.8713993;0.24378;15.4232
NS_808;334.9138;Baja;Calidad muy mala;4.333333333;297;26.20185453;0.18644;13.2236
NS_809;336.0305;Media;Calidad muy mala;4.666666667;294;30.65413907;0.184;13.13
NS_810;347.5192;Media;Calidad muy mala;3;295;36.96607939;0.1861;13.1994
NS_811;347.5192;Baja;Calidad regular;3.666666667;296;42.7133475;0.29692;16.8391
NS_812;347.5192;Alta;Calidad mala;7;302;46.38718203;0.27492;16.2384
NS_813;347.5192;Media;Calidad mala;6;307;46.01203072;0.289;16.6
NS_814;347.5192;Media;Calidad mala;6;309;43.19826654;0.289;16.6
NS_815;347.5192;Baja;Calidad mala;4.333333333;323;39.22649841;0.289;16.6
NS_816;347.5192;Media;Calidad mala;3.333333333;333;34.3106226;0.289;16.6
NS_817;347.5192;Baja;Calidad mala;3.333333333;341;29.85276082;0.289;16.6
NS_818;347.5192;Media;Calidad mala;3.333333333;341;26.15502689;0.289;16.6
NS_819;347.5192;Alta;Calidad mala;2.666666667;332;22.85904298;0.289;16.6
NS_820;344.7416;Baja;Calidad regular;12;285;18.9992557;0.31684;17.4091
NS_821;332.5602;Baja;Calidad mala;5;292;21.03233682;0.24984;15.5943
NS_822;321.3037;Media;Calidad muy mala;4;295;23.88562696;0.2267;14.768
NS_823;326.7;Baja;Calidad muy mala;3.666666667;296;27.83756374;0.184;13.13
NS_824;327.5691;Alta;Calidad muy mala;3;293;33.36435514;0.184;13.13
NS_825;347.5192;Alta;Calidad muy mala;3.666666667;296;40.64250423;0.2197;14.3098
NS_826;347.5192;Alta;Calidad mala;7;0;47.66694128;0.289;16.6
NS_827;347.5192;Media;Calidad mala;6.666666667;304;50.64531986;0.289;16.6
NS_828;347.5192;Media;Calidad mala;5.333333333;309;48.74203894;0.289;16.6
NS_829;341.3802;Baja;Calidad mala;5.333333333;313;45.01945243;0.289;16.6
NS_830;336.6394;Baja;Calidad mala;4.333333333;326;40.02271356;0.289;16.6
NS_831;345.6386;Media;Calidad mala;4.333333333;331;34.44244537;0.289;16.6
NS_832;338.7991;Baja;Calidad mala;3.333333333;337;29.80729615;0.289;16.6
NS_833;347.5192;Media;Calidad mala;4;335;25.92298812;0.289;16.6
NS_834;347.5192;Baja;Calidad mala;3;328;22.42770852;0.289;16.6
NS_835;294.0326;Baja;Calidad mala;11;287;19.37055779;0.289;16.6
NS_836;320.6442;Baja;Calidad muy mala;5;293;21.67599721;0.245;15.47
NS_837;324.9343;Media;Calidad muy mala;4.333333333;295;24.97667423;0.21023;14.1362
NS_838;319.5753;Media;Calidad muy mala;3;294;29.73599918;0.184;13.13
NS_839;329.3272;Alta;Calidad muy mala;3.666666667;293;36.54577247;0.2239;14.4486
NS_840;347.5192;Media;Calidad mala;7;297;45.30049182;0.2764;16.1836
NS_841;347.5192;Baja;Calidad mala;6.666666667;0;52.87412427;0.289;16.6
NS_842;347.5192;Media;Calidad mala;6.666666667;306;54.2315207;0.289;16.6
NS_843;347.5192;Media;Calidad mala;5.333333333;310;50.94088631;0.289;16.6
NS_844;341.2557;Baja;Calidad mala;5.333333333;318;46.34963054;0.289;16.6
NS_845;337.7041;Baja;Calidad mala;4.333333333;325;40.15252555;0.289;16.6
NS_846;342.7556;Media;Calidad mala;3.333333333;327;34.41954822;0.289;16.6
