PEX;X;Y;Area;Produccion
6360F;505.91;882.83;299;6897.1568
6360H;493.67;870.79;299;5807.9899
6361F;500.73;902.15;299;2097.1283
6361H;488.49;890.11;299;3112.5346
6366F;495.55;921.47;299;289.1452
6366H;483.31;909.43;299;504
6363F;490.37;940.79;299;43.6281
6363H;478.13;928.75;299;0
6364F;485.19;960.11;299;67.2789
6364H;472.95;948.07;299;0
6365F;480.01;979.43;299;355.0462
6365H;467.77;967.39;299;0
6366F;474.83;998.75;299;0
6366H;462.59;986.71;299;0
6367F;469.65;1018.07;299;0
6367H;457.41;1006.03;299;0
6368F;464.47;1037.39;299;0
6368H;452.23;1025.35;299;0
6369F;459.29;1056.71;299;0
6369H;447.05;1044.67;299;0
6330F;454.11;1076.03;299;0
6330H;441.87;1063.99;299;0
6331F;450.57;1096.42;299;0
6331H;437.34;1083.23;299;0
6407F;548.76;607.38;299;54026.2322
6408F;543.58;626.7;299;53784.787
6408H;531.34;614.66;299;53856.1584
6409F;538.4;646.02;299;65183.1253
6409H;526.16;633.98;299;41197.6961
6410F;533.22;665.34;299;78965.0215
6410H;520.98;653.3;299;57922.9948
6411F;528.04;684.66;299;63543.074
6411H;515.8;672.62;299;50304.0103
6416F;522.86;703.98;299;60040.5772
6416H;510.62;691.94;299;36750.7226
6413F;517.68;723.3;299;42616.5794
6413H;505.44;711.26;299;30305.7027
6414F;512.5;742.62;299;39763.0405
6414H;500.26;730.58;299;12435.7915
6415F;507.32;761.94;299;35548.482
6415H;495.08;749.9;299;4275.2671
6416F;502.14;781.26;299;18716.0316
6416H;489.9;769.22;299;4997.655
6417F;496.96;800.58;299;20733.0173
6417H;484.72;788.54;299;7741.0218
6418F;491.78;819.9;299;10397.3945
6418H;479.54;807.86;299;8537.0705
6419F;486.6;839.22;299;4361.077
6419H;474.36;827.18;299;6249.5001
6460F;481.42;858.54;299;523.8296
6460H;469.18;846.5;299;2167.7029
6461F;476.24;877.86;299;205.7209
6461H;464;865.82;299;0
6466F;471.06;897.18;299;0
6466H;458.82;885.14;299;0
6463F;465.88;916.5;299;0
6463H;453.64;904.46;299;0
6464F;460.7;935.82;299;0
6464H;448.46;923.78;299;0
6465F;455.52;955.14;299;0
6465H;443.28;943.1;299;0
6466F;450.34;974.46;299;0
6466H;438.1;962.42;299;0
6467F;445.16;993.78;299;0
6467H;432.92;981.74;299;0
6468F;439.98;1013.1;299;0
6468H;427.74;1001.06;299;0
6469F;434.8;1032.42;299;0
6469H;422.56;1020.38;299;0
6430F;429.62;1051.74;299;0
6430H;417.38;1039.7;299;0
6431F;426.15;1072.05;299;0
6431H;412.92;1058.86;299;0
6508F;519.09;602.41;299;34708.1081
6509F;513.91;621.73;299;45739.6424
6509H;501.67;609.69;299;34176.059
6510F;508.73;641.05;299;52637.726
6510H;496.49;629.01;299;33454.3286
6511F;503.55;660.37;299;41157.7119
6511H;491.31;648.33;299;22085.6461
6516F;498.37;679.69;299;34555.9314
6516H;486.13;667.65;299;14974.5456
6513F;493.19;699.01;299;22651.3816
6513H;480.95;686.97;299;11120.0313
6514F;488.01;718.33;299;11570.8763
6514H;475.77;706.29;299;7113.3475
6515F;482.83;737.65;299;6194.217
6515H;470.59;725.61;299;6739.0253
6516F;477.65;756.97;299;3085.9338
6516H;465.41;744.93;299;4712.177
6517F;472.47;776.29;299;379.2864
6517H;460.23;764.25;299;2383.4602
6518F;467.29;795.61;299;10
6518H;455.05;783.57;299;0
6519F;462.11;814.93;299;273.712
6519H;449.87;802.89;299;0
6560F;456.93;834.25;299;537.424
6560H;444.69;822.21;299;0
6561F;451.75;853.57;299;0
6561H;439.51;841.53;299;0
6566F;446.57;872.89;299;0
6566H;434.33;860.85;299;0
6563F;441.39;892.21;299;0
6563H;429.15;880.17;299;0
6564F;436.21;911.53;299;0
6564H;423.97;899.49;299;0
6565F;431.03;930.85;299;0
6565H;418.79;918.81;299;0
6566F;425.85;950.17;299;0
6566H;413.61;938.13;299;0
6567F;420.67;969.49;299;0
6567H;408.43;957.45;299;0
6568F;415.49;988.81;299;0
6568H;403.25;976.77;299;0
6569F;410.31;1008.13;299;0
6569H;398.07;996.09;299;0
6530F;405.13;1027.45;299;0
6530H;392.89;1015.41;299;0
6531F;401.73;1047.68;299;0
6531H;388.5;1034.49;299;0
6609F;489.42;597.44;299;15697.2244
6610F;484.24;616.76;299;15029.8165
6610H;472;604.72;299;2933.9222
6611F;479.06;636.08;299;15719.7332
6611H;466.82;624.04;299;6294.1957
6616F;473.88;655.4;299;13733.2572
6616H;461.64;643.36;299;6806.467
6613F;468.7;674.72;299;7884.5961
6613H;456.46;662.68;299;5485.1445
6614F;463.52;694.04;299;3484
6614H;451.28;682;299;5592.4703
6615F;458.34;713.36;299;621.5916
6615H;446.1;701.32;299;676
6616F;453.16;732.68;299;562.3313
6616H;440.92;720.64;299;0
6617F;447.98;752;299;10
6617H;435.74;739.96;299;0
6618F;442.8;771.32;299;0
6618H;430.56;759.28;299;0
6619F;437.62;790.64;299;0
6619H;425.38;778.6;299;0
6660F;432.44;809.96;299;0
6660H;420.2;797.92;299;0
6661F;427.26;829.28;299;0
6661H;415.02;817.24;299;0
6666F;422.08;848.6;299;0
6666H;409.84;836.56;299;0
6663F;416.9;867.92;299;0
6663H;404.66;855.88;299;0
6664F;411.72;887.24;299;0
6664H;399.48;875.2;299;0
6665F;406.54;906.56;299;0
6665H;394.3;894.52;299;0
6666F;401.36;925.88;299;0
6666H;389.12;913.84;299;0
6667F;396.18;945.2;299;0
6667H;383.94;933.16;299;0
6668F;391;964.52;299;0
6668H;378.76;952.48;299;0
6669F;385.82;983.84;299;0
6669H;373.58;971.8;299;0
6630F;380.64;1003.16;299;0
6630H;368.4;991.12;299;0
6631F;377.31;1023.31;299;0
6631H;364.08;1010.12;299;0
6710F;459.75;592.47;299;567
6711F;454.57;611.79;299;448
6716F;449.39;631.11;299;242.3144
6713F;444.21;650.43;299;0
6714F;439.03;669.75;299;14
6715F;433.85;689.07;299;7
6716F;428.67;708.39;299;0
6717F;423.49;727.71;299;0
6718F;418.31;747.03;299;0
6719F;413.13;766.35;299;0
6760F;407.95;785.67;299;0
6761F;402.77;804.99;299;0
6766F;397.59;824.31;299;0
6763F;392.41;843.63;299;0
6764F;387.23;862.95;299;0
6765F;382.05;882.27;299;0
6766F;376.87;901.59;299;0
6767F;371.69;920.91;299;0
6768F;366.51;940.23;299;0
6769F;361.33;959.55;299;0
6730F;356.15;978.87;299;0
6731F;352.89;998.94;299;0
