X;Y;Z;Cu
220.2;582.5;52.1;0.59
151.3;85.7;72.8;0.59
142.5;583.1;84.5;0.59
243;578.6;108;0.59
93.5;342;127.5;0.59
72.7;106.2;91.3;0.59
92.4;523.7;108.7;0.59
97.5;339.2;40.1;0.59
432.9;345.2;11.2;0.59
93.2;641.6;58.7;0.58
288.7;225.7;12;0.58
179.9;313;24;0.58
179.9;313;72;0.58
179.9;313.4;24;0.58
179.9;313.4;72;0.58
120.4;553;132;0.58
365.7;283.8;130.3;0.58
314.9;284.1;79.2;0.58
67.8;403.4;107.2;0.58
60.4;433;120;0.58
110.9;276.7;16.8;0.58
287.9;582.9;120.1;0.57
388;118.4;96.7;0.57
209.3;85.9;24;0.57
360.8;463.6;24;0.57
318.9;522.8;17.3;0.57
171.9;52.3;74.2;0.57
181.4;583.7;109;0.57
209.9;282.8;84.7;0.57
205;388;12;0.57
149.8;481.2;72;0.57
94.1;447.8;72;0.57
90;58;108;0.57
309.2;493.3;65.5;0.56
298.2;522.6;73.6;0.56
413;344.4;60.5;0.56
425.6;402.2;84.2;0.56
270.5;538;83.3;0.56
418.3;343.7;120.3;0.56
191;283.3;37.7;0.56
207.3;573.2;131.8;0.56
181.4;583.7;102.5;0.56
228.6;643;100.6;0.56
66.4;522.2;14.1;0.56
90.6;357.5;36.1;0.56
94.1;447.8;96;0.56
120.5;463;119.7;0.56
417.3;343.9;108.3;0.55
302.4;522.5;62.3;0.55
309.2;493.3;17.5;0.55
242.4;645.4;91.2;0.55
378.5;563;64.9;0.55
343.5;520.7;116.7;0.55
169.5;636.7;119.9;0.55
222.8;648.9;98.6;0.55
183.5;581;101;0.55
128.1;281.9;61.6;0.55
204.6;343.4;54.7;0.55
270.4;208;132;0.55
150;568;120;0.55
150.4;268;96;0.55
240.4;553;83.8;0.55
94.9;523.4;121.1;0.55
116.9;284.8;118;0.55
72.4;210.4;19.7;0.55
90;88;84;0.55
282.5;145.9;56.3;0.54
335;520.6;108.2;0.54
180;73;96;0.54
180;73;108;0.54
184.9;52.5;40.7;0.54
323;478;51.8;0.54
119.1;641.8;83.7;0.54
308.8;218.3;26;0.54
127;282.1;75.7;0.54
213.1;643.2;82.3;0.54
270.3;208.2;36.2;0.54
325.3;388.3;96;0.54
324;239;132;0.54
210.4;328;59.6;0.54
356.6;406.8;84;0.54
240.6;193.6;24;0.54
53;588.6;132;0.54
83.4;585.8;82.4;0.54
92.4;523.7;72.7;0.54
90.4;207.9;95.7;0.54
90;178;84;0.54
424.8;403.1;111.9;0.53
390.4;418;132;0.53
360.3;523.1;96;0.53
239.9;79.5;85.4;0.53
292.7;284.3;56.9;0.53
150;598;108;0.53
300.7;643.4;120;0.53
120.5;102.8;120;0.53
72.3;403.4;59.4;0.53
90.1;297.3;120.1;0.53
75.6;471.8;84;0.53
314.7;579.4;70.2;0.52
326.5;520.5;99.7;0.52
211.7;582.5;43.6;0.52
252.6;282.3;49.6;0.52
217;268;72;0.52
155.7;118;12;0.52
152.3;88;48;0.52
152.3;88.2;48;0.52
302.2;282.2;96;0.52
180.4;613;131.8;0.52
194.8;582.4;26.5;0.52
151;643.8;9.1;0.52
68.9;403.4;95.2;0.52
90.6;357.5;96.1;0.52
90.6;357.5;132.1;0.52
114.6;228.2;125.5;0.52
357.1;493.5;57;0.51
444.9;268.3;121.2;0.51
209.2;418;12.2;0.51
205;388;60;0.51
205.5;328.9;12;0.51
150;238;24;0.51
240.6;643;120;0.51
180.4;253;95.6;0.51
55.6;642.7;106;0.51
106.1;228.3;117;0.51
120.4;163;94.7;0.51
124.6;284.7;127.2;0.51
280.5;578.4;36.5;0.51
307;553.4;94;0.51
420.4;222.9;108.3;0.51
420.3;403.5;88.3;0.51
357.1;493.5;102;0.51
101.8;641.6;67;0.51
143.2;583.4;108.5;0.51
198.1;281.5;16.8;0.51
142.2;582.8;72.6;0.51
270.3;208.1;132.5;0.51
207.3;573.2;95.8;0.51
210;418;12;0.51
150.4;418;11.9;0.51
150.2;147.6;48.1;0.51
300.7;643.4;72;0.51
134.2;285.8;84.5;0.51
107.2;105.6;124.6;0.51
224.9;647;135.9;0.51
75.6;471.8;48;0.51
71.4;457;127.6;0.51
75.6;471.8;108;0.51
53;588.6;108;0.51
90.5;193;132;0.51
289;578.6;44.9;0.49
270.5;538;106.8;0.49
360.5;520.9;133.6;0.49
420.4;222.9;132.3;0.49
360.3;523.1;60;0.49
149.5;580.5;67.1;0.49
166.5;580.7;84.1;0.49
179.7;283.5;16.5;0.49
173.6;636.3;108.6;0.49
131.5;585.2;131.2;0.49
205;388;24;0.49
288.7;225.7;132;0.49
179.9;313;36;0.49
179.9;313.4;36;0.49
170.8;642.4;133.8;0.49
56.7;434.4;113;0.49
90.6;417.9;120;0.49
57.8;348;132;0.49
254.1;582.7;86.1;0.48
415.1;344.1;84.4;0.48
120.8;106.6;16.2;0.48
360.8;463.6;72;0.48
136.3;642;100.4;0.48
150.4;268;72;0.48
356.6;406.8;132;0.48
300.7;643.4;84;0.48
125.4;582.2;132;0.48
120.7;87.8;71.9;0.48
120.4;133;48;0.48
78.7;342.1;12;0.48
89.6;400.7;75.8;0.48
90;118;120;0.48
56.7;434.4;101;0.48
60.4;373;132;0.48
94.1;447.8;120;0.48
101.6;115.7;132;0.48
441.6;345.2;19.5;0.48
180.5;52.4;51.9;0.47
418;403.7;76.6;0.47
425.6;402.2;108.2;0.47
240.6;643;96;0.47
385.1;88;61;0.47
414;344.3;72.5;0.47
307;553.4;82;0.47
271.2;282.6;18.4;0.47
202;633.7;29.6;0.47
153.5;642.2;117.1;0.47
240.6;643;36;0.47
95.1;342.9;120;0.47
90.5;268;120;0.47
75;522.2;22.5;0.47
80.5;401.8;98;0.47
330.8;447.9;122;0.47
207.1;64.2;96.9;0.46
222.8;641.1;107.7;0.46
304.4;218.1;14.8;0.46
251.1;644.5;68.9;0.46
212.5;343.4;62.4;0.46
270.3;208.2;48.2;0.46
217;268;36;0.46
240.6;643;132;0.46
120.4;133;36;0.46
106.2;585.5;105.5;0.46
108.6;282.7;108;0.46
98.9;522.8;132.6;0.46
120.4;283;96.5;0.46
323.6;545;120;0.45
360.3;523.1;72;0.45
220.8;643.1;91.4;0.45
204.8;280.2;64.7;0.45
270.2;268.4;12.3;0.45
152.3;88;60;0.45
152.3;88.2;60;0.45
356.6;406.8;108;0.45
288.7;225.7;84;0.45
240.6;643;72;0.45
120.4;73;96;0.45
99.4;401.7;61.9;0.45
409.7;453.9;14;0.44
207.5;85.4;90.9;0.44
283.9;520.1;57.4;0.44
314.8;522.6;28.5;0.44
269.4;567.9;84;0.44
429.2;402.8;135.5;0.44
144.9;642.1;108.8;0.44
212.6;280.3;72.5;0.44
203.3;582.4;35.1;0.44
330.4;298;123.7;0.44
150.4;358;72.1;0.44
243;578.6;96;0.44
70;403.4;83.3;0.44
90.4;148.1;119.2;0.44
55.7;210;36.9;0.44
90;58;120;0.44
90;118;96;0.44
120.4;313;108;0.44
449;345.2;26.4;0.44
418.2;453.3;22.5;0.43
159.2;69.6;14.2;0.43
360.8;463.6;120;0.43
180;73;72;0.43
194;281.8;28.1;0.43
177.9;582.3;9.5;0.43
239.7;312.8;12;0.43
125.4;582.2;84;0.43
120.4;133;60;0.43
77.1;403.3;11.6;0.43
90.6;417.9;108;0.43
105.4;283;132;0.43
109.7;313.2;120;0.43
56.7;434.4;92.5;0.43
123.1;228.1;133.9;0.43
309.2;493.3;53.5;0.42
389.2;570.3;85.1;0.42
331.7;579.9;87;0.42
357.2;548.3;24.5;0.42
405.2;581.3;115.4;0.42
360.3;523.1;48;0.42
360.3;523.1;84;0.42
360.8;463.6;108;0.42
307;553.4;10;0.42
239.9;79.5;121.4;0.42
285.8;522.9;107.4;0.42
151.3;85.7;60.8;0.42
150;598;120;0.42
300.2;313.2;48;0.42
239.9;79.5;133.4;0.42
123.1;585.3;122.6;0.42
208.1;80;101.6;0.42
151.3;85.7;84.8;0.42
94.1;447.8;84;0.42
90.6;357.5;84.1;0.42
90.1;297.3;132.1;0.42
90.4;148.1;131.2;0.42
53;588.6;120;0.42
120.5;223.3;74;0.42
90.5;193;120;0.42
90;178;120;0.42
120.4;313;132;0.42
340.3;580.2;95.5;0.41
399.8;577.6;105.3;0.41
272.6;642;12.9;0.41
177.7;636;97.3;0.41
356.6;406.8;96;0.41
179.7;76.4;132;0.41
186.6;492.7;132;0.41
140.3;581.9;12.6;0.41
142.9;583.2;96.5;0.41
54.4;456.3;110.7;0.41
90.5;133;119.5;0.41
60;223;119;0.41
56.7;434.4;125;0.41
93.8;187.9;132;0.41
94.7;279.4;61.9;0.41
83.5;522.3;30.9;0.41
289.9;522.8;96.1;0.41
373.2;559.3;54.8;0.41
272;578.1;28;0.41
374.4;581.2;129.2;0.41
351.8;544.6;14.4;0.41
360.8;463.6;36;0.41
300.2;583;96;0.41
240.6;643;24;0.41
444.9;268.3;109.2;0.41
166.5;643.6;27.4;0.41
151.3;85.7;54.3;0.41
141.1;71.6;45.3;0.41
50.2;641.1;16.9;0.41
330.8;447.9;115;0.41
90.4;207.9;71.7;0.41
176.2;52.4;63.1;0.39
444.9;268.3;102.7;0.39
348.8;580.4;103.9;0.39
114.7;585.4;114.1;0.39
125.4;582.2;72;0.39
71.1;403.4;71.3;0.39
90.6;417.9;132;0.39
90.6;357.5;120.1;0.39
90.5;268;132;0.39
73.3;522.6;107.3;0.39
92.6;228.6;103.6;0.39
90.4;148.1;71.7;0.39
92.4;523.7;120.7;0.39
90.5;133;131;0.39
357.1;493.5;126;0.38
245.6;582.7;77.6;0.38
269.4;567.9;72;0.38
360.3;523.1;120;0.38
360.3;523.1;132;0.38
271;582.8;103.1;0.38
415.7;404;64.8;0.38
270.2;268.4;48.3;0.38
120.7;87.8;95.9;0.38
120.4;73;120;0.38
205.3;643.3;73.1;0.38
60.4;373;120;0.38
67.3;522.6;101.3;0.38
98.7;278.7;50.6;0.38
97.5;228.5;108.6;0.38
98.8;163.1;118.9;0.38
210.3;58.1;132;0.38
309.5;520.3;82.8;0.37
310.7;522.5;39.8;0.37
360.3;523.1;24;0.37
300.2;583;88;0.37
264.1;643.1;35.3;0.37
152.3;88;12;0.37
152.3;88.2;12;0.37
300.7;643.4;132;0.37
180.4;613;119.8;0.37
90.4;148.1;107.2;0.37
60.4;73;132.4;0.37
243;578.6;60;0.36
385.1;88;73;0.36
307;553.4;58;0.36
385.1;88;133;0.36
294.1;522.7;84.8;0.36
140;161.2;6.2;0.36
222.7;633.3;116.8;0.36
158;580.6;75.6;0.36
125.4;582.2;120;0.36
57.8;348;120;0.36
66.7;403.5;119.1;0.36
207.1;64.2;108.9;0.35
325.8;567.2;110.1;0.35
323.1;522.9;6;0.35
383.8;566.6;75;0.35
357.3;580.7;112.3;0.35
292.4;520.2;65.9;0.35
209.3;85.9;72;0.35
307;553.4;70;0.35
330.4;298;115.7;0.35
175;580.9;92.6;0.35
62.9;456.7;119.2;0.35
60;223;59;0.35
90.4;238;111.1;0.35
307.8;560.7;108;0.34
307;553.4;46;0.34
427;402.9;123.7;0.34
325.8;567.2;122.1;0.34
394.5;574;95.2;0.34
243;578.6;48;0.34
237.1;582.6;69.1;0.34
243;578.6;84;0.34
222.6;617.8;135.1;0.34
269.5;610;120;0.34
182;643.5;45.7;0.34
82.5;281.4;95.7;0.34
90.5;268;96;0.34
120.4;313;96;0.34
323.2;579.7;78.6;0.33
207.1;88.7;84.2;0.33
181.8;635.6;86.1;0.33
420.8;523.3;132.1;0.33
352;520.8;125.1;0.33
255.5;644.1;57.7;0.33
115.9;105.5;133;0.33
52.2;166;114.5;0.33
111.5;284.9;111.5;0.33
60.8;165.9;122.9;0.33
65.6;403.5;131.1;0.33
75.9;403.3;23.6;0.33
53;588.6;84;0.33
94.5;401.6;56.9;0.33
209.3;88;72;0.33
209.3;85.9;48;0.33
120.4;313;120;0.33
300.2;583;120;0.32
153.2;70.4;24.6;0.32
174.3;643.6;36.5;0.32
158.8;643.7;18.2;0.32
90.4;207.9;131.7;0.32
60.4;133;132.2;0.32
209.3;88;48;0.32
90.4;207.9;83.7;0.32
307;553.4;22;0.31
362.5;552;34.6;0.31
189.8;643.4;54.8;0.31
333.7;600.7;132;0.31
359.3;550.8;131;0.31
367.8;555.6;44.7;0.31
365.9;580.9;120.8;0.31
240.6;643;60;0.31
81.3;106;99.7;0.31
76;402.2;109.1;0.31
60.4;403;132;0.31
60.2;162.7;131;0.31
297.6;578.9;53.3;0.31
425.6;402.2;120.2;0.31
357.1;493.5;114;0.31
165.4;637.1;131.2;0.31
239.7;312.8;36;0.31
90.4;148.1;95.2;0.31
103.6;291.2;120;0.31
60.4;373;108;0.31
185.9;635.2;74.8;0.29
189.9;634.8;63.5;0.29
425.6;402.2;60.2;0.29
300.2;583;108;0.29
300.7;643.4;60;0.29
103.6;291.2;108;0.29
105.4;283;108;0.29
60;223;131;0.29
80.8;210.5;11.1;0.29
60;223;71;0.29
263.4;577.8;19.6;0.28
300.9;520.3;74.3;0.28
410.5;585;125.5;0.28
425.6;402.2;132.2;0.28
243;578.6;72;0.28
198.1;634;40.9;0.28
120.7;87.8;131.9;0.28
98;267.3;40.4;0.28
85.2;342;120.3;0.28
95.1;342.9;132;0.28
108.6;282.7;120;0.28
86.6;280.7;84.4;0.28
90.8;263.6;31.6;0.28
90;178;108;0.28
90.4;238;123.1;0.28
268.3;642.5;24.1;0.27
385.1;88;121;0.27
71.5;402.6;120.3;0.27
103.6;291.2;132;0.27
90.4;148.1;83.2;0.27
105.3;271;49.2;0.27
307;553.4;34;0.26
412.5;111.2;89.3;0.26
300.7;643.4;12;0.26
69.5;165.8;131.2;0.26
60.4;403;120;0.26
209.3;88;60;0.26
209.3;85.9;60;0.26
254.9;577.6;11.2;0.25
425.6;402.2;72.2;0.25
125.4;582.2;108;0.25
90.1;297.3;108.1;0.25
105.4;283;120;0.25
60.4;133;120.2;0.25
67.1;403;131.4;0.25
325.8;567.2;98.1;0.24
420.8;523.3;120.1;0.24
323.6;545;108;0.24
194;634.4;52.2;0.24
150;598;132;0.24
60;223;107;0.24
60.2;162.7;119.5;0.24
53;588.6;72;0.24
90;178;72;0.24
90;118;108;0.24
90.4;238;135.1;0.23
90.4;238;99.1;0.23
300.7;643.4;48;0.22
385.1;88;85;0.22
78.5;282.1;107;0.22
90.6;357.5;72.1;0.22
60;223;95;0.22
90.6;280.1;73.1;0.22
444.9;268.3;133.2;0.21
222.7;625.6;126;0.21
90.1;297.3;96.1;0.21
90.5;268;108;0.21
83.6;259.9;22.7;0.2
325.8;567.2;86.1;0.19
306.1;579.1;61.8;0.19
385.1;88;109;0.19
300.7;643.4;24;0.19
90.4;207.9;107.7;0.19
90.4;238;79.6;0.18
90.4;238;87.1;0.18
90.4;207.9;119.7;0.18
74.4;282.7;118.2;0.17
197.5;643.3;64;0.16
78.1;257.1;16.1;0.14
385.1;88;97;0.13
300.7;643.4;36;0.13
243;578.6;39;0.12
