Date Fixed;X;Y;Z;Location Error;Moment;Energy
14-01-10;1300.45;147.3;2596.598731;8;2.57E+10;8.96E+04
15-01-10;-207.71;388.23;2940.938731;205;9.80E+08;1.34E+04
15-01-10;1769.93;1317.88;3605.348731;152;9.07E+08;5.72E+04
15-01-10;1097.28;103.43;2744.488731;15;5.92E+10;1.27E+04
15-01-10;1276.25;140.85;2588.098731;5;3.59E+10;1.78E+05
15-01-10;1209.38;127.4;2607.238731;10;9.29E+09;1.71E+04
15-01-10;1329.35;165.03;2593.628731;5;1.06E+10;1.60E+04
15-01-10;893.66;696.02;2660.168731;140;6.96E+08;3.56E+04
15-01-10;195.37;229.51;4684.158731;14;2.06E+08;2.19E+04
15-01-10;1524.23;-244.15;2707.858731;76;8.90E+07;1.26E+04
15-01-10;493.34;1218.11;2557.558731;68;9.47E+08;1.38E+04
15-01-10;782.87;-1212.92;2607.508731;29;5.81E+08;1.76E+04
15-01-10;464.89;16.09;4377.388731;154;5.71E+08;1.29E+05
15-01-10;931.1;748.92;2549.628731;352;8.22E+08;1.75E+04
16-01-10;1951.78;-1107.26;3185.008731;244;2.02E+08;5.28E+04
16-01-10;1497.7;-799.95;2817.798731;205;2.43E+08;4.22E+04
16-01-10;2481.86;101.97;3458.248731;134;5.57E+08;1.70E+04
16-01-10;-830.63;1311.53;2940.558731;603;5.50E+08;4.01E+05
16-01-10;1174.22;1495.96;2913.948731;73;3.31E+08;6.17E+05
16-01-10;2736.38;330.22;2487.478731;37;5.40E+08;1.29E+04
16-01-10;1203.03;152.47;2583.398731;7;1.11E+10;2.40E+04
16-01-10;2335.53;-2048.2;3424.898731;374;3.70E+08;1.41E+04
16-01-10;1455.77;3230.4;3319.668731;356;5.35E+08;7.30E+06
16-01-10;1054.87;652.72;3485.658731;21;9.08E+08;1.51E+04
16-01-10;1159.43;126.42;2606.178731;10;1.95E+10;3.19E+04
16-01-10;841.53;-893.01;2068.728731;154;9.71E+08;1.13E+06
16-01-10;616.15;2534.98;2534.668731;136;8.81E+08;9.52E+05
16-01-10;152.69;-933.79;3172.248731;59;1.01E+09;2.89E+05
16-01-10;348.71;-445.62;2829.418731;327;6.79E+08;1.31E+04
17-01-10;1249.75;142.21;2601.918731;5;4.61E+10;1.98E+05
17-01-10;1276.35;144.94;2586.698731;7;8.00E+10;4.64E+05
17-01-10;1245.11;187.78;2600.398731;13;1.34E+10;2.14E+04
17-01-10;-1820.11;185.74;2759.018731;234;2.37E+09;3.34E+05
18-01-10;1201.22;130.26;2601.018731;7;1.84E+10;6.25E+04
18-01-10;1374.14;731.8;2390.428731;24;6.01E+09;3.31E+04
18-01-10;1294.32;173.3;2664.188731;15;1.39E+10;2.86E+04
18-01-10;386.48;1410.37;3760.528731;198;2.46E+08;2.18E+04
18-01-10;-466.02;408.05;2781.648731;193;9.94E+08;1.99E+04
18-01-10;875.9;771.86;2544.628731;289;3.46E+08;2.12E+04
18-01-10;1118.24;549.39;2574.908731;27;1.39E+09;2.39E+04
18-01-10;1295.01;528.98;2196.638731;34;1.21E+09;2.72E+04
19-01-10;1274.21;149.75;2597.998731;9;3.39E+10;1.84E+05
19-01-10;1298.18;163.53;2617.168731;7;2.16E+10;5.45E+04
19-01-10;1246.29;148.68;2597.478731;8;1.49E+10;3.45E+04
19-01-10;1240.86;149.97;2600.838731;6;2.20E+10;5.33E+04
19-01-10;1158.01;125.38;2605.248731;7;2.61E+10;3.88E+04
19-01-10;1289.5;1008.19;3234.628731;130;2.21E+08;5.84E+04
19-01-10;982.95;-479.38;1547.798731;26;1.00E+09;1.13E+04
19-01-10;2078.35;1305.26;3662.158731;120;9.52E+08;1.41E+04
19-01-10;1377.83;574.91;3242.318731;50;5.65E+08;1.81E+04
19-01-10;1326.88;1368.6;2361.498731;194;9.66E+08;1.53E+04
19-01-10;-105.66;-1116.04;3007.598731;122;5.59E+08;1.32E+05
19-01-10;1489.65;729.16;3071.258731;61;4.16E+08;1.21E+04
19-01-10;1208.25;111.83;2649.278731;7;4.60E+09;1.26E+04
19-01-10;1214.58;119.69;2604.398731;6;8.84E+09;2.87E+04
19-01-10;1280.98;132.46;2636.388731;9;6.45E+09;1.38E+04
19-01-10;-27.13;-1864.23;4038.518731;586;5.36E+08;4.43E+05
19-01-10;1614.38;-1507.34;3025.788731;232;7.75E+08;1.05E+04
19-01-10;2348.75;-1399.06;3120.918731;108;5.06E+08;1.13E+04
19-01-10;1759.7;819.2;2254.948731;66;7.59E+08;2.50E+04
19-01-10;323.2;-662.51;2938.228731;175;1.63E+08;2.93E+04
19-01-10;892.53;762.49;2577.658731;154;8.94E+08;2.53E+04
19-01-10;1360.96;336.54;2874.818731;149;2.94E+08;1.48E+04
19-01-10;4158.51;861.11;4153.598731;219;6.11E+08;3.47E+05
20-01-10;1109.19;68.93;2728.398731;17;4.31E+10;1.38E+04
20-01-10;699.34;680.7;2568.938731;11;6.38E+09;1.61E+04
20-01-10;1283.37;133.07;2632.738731;11;1.12E+10;1.26E+04
20-01-10;1265.2;152.7;2599.038731;7;2.76E+10;7.45E+04
20-01-10;1218.67;114.94;2620.678731;6;6.05E+09;1.09E+04
20-01-10;673.36;-866.09;1519.448731;115;7.97E+08;1.86E+04
20-01-10;-845.53;-6.17;2759.598731;275;9.64E+08;2.03E+04
20-01-10;552.77;226.28;2833.018731;320;4.50E+08;1.52E+04
20-01-10;-437.34;-167.79;1935.498731;239;4.74E+08;3.58E+04
20-01-10;1204.22;124.76;2583.268731;8;1.27E+10;3.61E+04
20-01-10;1577.55;102.99;3065.108731;103;9.57E+08;1.86E+04
20-01-10;186.49;-216.07;2760.878731;81;7.20E+08;2.49E+04
21-01-10;1807.02;257.86;2857.038731;13;9.30E+09;1.37E+04
21-01-10;1221.51;100.21;2605.688731;11;1.28E+10;1.46E+04
21-01-10;1275.31;150.31;2607.738731;7;2.77E+10;1.77E+05
21-01-10;1258.89;133.25;2595.728731;10;2.33E+10;6.78E+04
21-01-10;1091.36;97.51;2730.028731;27;5.00E+10;1.25E+04
21-01-10;1210.36;120.69;2631.878731;11;4.84E+09;1.65E+04
21-01-10;796.41;901.01;2514.198731;193;6.74E+08;1.38E+04
21-01-10;-816.47;1883.47;2642.668731;42;1.54E+09;2.10E+05
22-01-10;1293.31;147.73;2592.648731;7;3.35E+10;1.12E+05
22-01-10;1771.67;175.76;2578.188731;6;1.56E+09;1.26E+04
22-01-10;1311.37;127.9;2637.368731;9;4.86E+09;1.13E+04
22-01-10;831.16;825.74;2522.038731;31;7.41E+08;4.55E+04
22-01-10;614.62;61.01;2774.078731;119;1.61E+08;2.06E+04
23-01-10;1289.75;150.97;2643.928731;13;7.04E+09;1.60E+04
23-01-10;826.67;1277.99;2540.298731;13;6.98E+08;2.83E+04
23-01-10;1280.07;140.57;2594.848731;6;2.54E+10;5.38E+04
23-01-10;1162.7;122.63;2612.758731;5;1.75E+10;1.92E+04
23-01-10;1753.04;937.99;3012.038731;57;3.71E+08;1.32E+04
23-01-10;1362.97;-234.84;2760.168731;77;1.53E+08;1.04E+04
23-01-10;1204.95;130.64;2676.848731;19;7.51E+09;2.44E+04
24-01-10;2678.73;-4186.04;3168.908731;49;8.15E+09;2.20E+06
24-01-10;-165.5;2035.03;2201.278731;242;2.04E+08;1.78E+04
25-01-10;1283.21;148.65;2652.828731;13;8.60E+09;1.30E+04
25-01-10;1249.73;155.66;2599.378731;7;3.70E+10;6.46E+04
25-01-10;1245.45;149.56;2592.038731;7;1.29E+10;3.04E+04
25-01-10;1296.96;143.76;2586.338731;7;2.21E+10;1.10E+05
25-01-10;1282.03;153.63;2596.858731;10;3.09E+10;1.15E+05
25-01-10;1318.92;136.17;2630.938731;9;5.97E+09;1.06E+04
25-01-10;1265.23;147.24;2591.428731;8;9.05E+09;1.37E+04
25-01-10;1295.14;146.99;2641.888731;8;9.45E+09;1.25E+04
26-01-10;1207.84;120.06;2579.278731;8;3.40E+10;1.25E+05
26-01-10;1159.33;122.75;2608.718731;9;1.77E+10;3.05E+04
27-01-10;1286.34;138.47;2633.218731;7;1.00E+10;2.09E+04
27-01-10;784.21;1260.98;2540.288731;13;6.67E+08;1.02E+04
27-01-10;1264.27;140.97;2582.698731;16;1.24E+10;1.29E+04
28-01-10;1210.9;115.75;2649.608731;10;8.46E+09;1.20E+04
28-01-10;1440.03;-440.92;2857.988731;19;7.56E+09;1.24E+04
28-01-10;1281.96;150.52;2600.018731;8;2.21E+10;7.06E+04
29-01-10;1252.59;140.86;2598.308731;7;3.77E+10;1.61E+05
29-01-10;1046.63;79.79;2807.938731;25;2.32E+10;1.23E+04
29-01-10;1680.36;1193.19;2829.338731;114;5.14E+08;2.54E+05
29-01-10;552.24;-210.56;2764.458731;153;9.10E+08;3.95E+04
29-01-10;703.17;331.03;2525.288731;289;2.14E+08;1.59E+04
29-01-10;1075.27;1090.85;2377.468731;210;8.32E+08;4.57E+04
29-01-10;2829.95;487.35;3269.208731;575;2.67E+08;9.75E+05
30-01-10;1295.38;164.82;2677.068731;14;7.02E+09;1.03E+04
30-01-10;729.13;627;2361.138731;18;3.24E+08;1.31E+04
30-01-10;883.27;1047.03;2515.088731;7;1.16E+10;4.80E+04
30-01-10;1006.34;-3769.04;3377.988731;234;2.80E+09;1.44E+05
30-01-10;1282.3;155.48;2608.608731;5;5.74E+09;1.08E+04
30-01-10;135.11;-462.2;2700.778731;23;7.45E+08;1.04E+04
30-01-10;1299.01;137.78;2615.178731;14;9.62E+09;3.16E+04
30-01-10;1272.54;-61.35;2763.218731;39;2.84E+08;1.55E+04
31-01-10;1628.69;-644.99;2709.418731;8;2.87E+09;1.15E+04
31-01-10;1556.41;-373.8;2784.128731;6;5.49E+10;1.17E+05
31-01-10;1205.88;117.76;2579.928731;15;1.89E+10;3.71E+04
31-01-10;1290.9;142.15;2626.748731;10;7.87E+09;3.70E+04
01-02-10;1299.63;154.78;2605.918731;10;2.60E+10;7.44E+04
01-02-10;1160.16;119.32;2602.548731;9;1.04E+10;1.36E+04
01-02-10;-1028.5;-1165.28;2564.178731;181;4.12E+09;1.09E+04
02-02-10;1085;632.46;2623.718731;8;2.53E+10;3.98E+04
02-02-10;1223.9;114.87;2629.658731;10;4.85E+09;1.28E+04
02-02-10;1268.63;154.22;2582.958731;10;6.47E+09;1.37E+04
02-02-10;1293.57;152.51;2658.158731;15;1.20E+10;3.17E+04
02-02-10;1286.95;146.81;2605.998731;14;1.87E+10;6.01E+04
02-02-10;1202.55;130.45;2595.218731;7;2.37E+10;1.01E+05
02-02-10;1475.13;878.97;2734.738731;14;1.37E+08;1.51E+04
03-02-10;1139.58;60.72;2709.828731;15;1.17E+10;1.03E+04
03-02-10;1266.2;149.58;2588.928731;8;8.50E+09;1.06E+04
03-02-10;1297.06;120.7;2615.048731;13;1.46E+10;1.48E+04
03-02-10;1296.38;131.18;2615.388731;13;8.69E+09;1.13E+04
03-02-10;1297.13;148.13;2602.598731;10;1.85E+10;3.92E+04
04-02-10;1260.95;144.45;2583.068731;7;6.58E+09;1.10E+04
04-02-10;371.07;956.37;2696.058731;17;9.06E+08;1.23E+04
04-02-10;1307.94;156.8;2651.508731;11;1.08E+10;1.95E+04
05-02-10;1296.18;132.12;2628.678731;11;9.79E+09;1.95E+04
05-02-10;1612.22;126.17;2823.328731;22;3.98E+09;6.51E+04
05-02-10;1623.17;63.43;2564.918731;13;2.89E+09;4.36E+04
05-02-10;1626.47;57.26;2559.248731;13;2.60E+09;5.13E+04
05-02-10;1631.26;51.03;2564.918731;13;1.82E+09;1.76E+04
05-02-10;1202.66;128.62;2590.628731;13;2.01E+10;8.89E+04
05-02-10;1261.24;152.31;2593.898731;8;1.17E+10;3.00E+04
05-02-10;1284.86;150.73;2595.458731;6;1.06E+10;2.25E+04
05-02-10;-2088.26;-741.94;2650.758731;280;1.53E+09;1.10E+04
05-02-10;1304.01;133.08;2621.148731;11;7.72E+09;1.62E+04
06-02-10;1308.81;127.06;2633.758731;12;6.01E+09;1.06E+04
06-02-10;1296.04;151.58;2600.588731;7;2.04E+10;5.73E+04
07-02-10;1301.17;134.26;2638.968731;9;7.60E+09;1.63E+04
08-02-10;1284.58;146.03;2588.778731;7;9.40E+09;2.04E+04
08-02-10;1275.61;157.58;2601.408731;9;8.13E+09;1.40E+04
