X;Y;Z
2091.448737;985.0687367;1352.33
2091.458737;986.0787367;1352.33
2121.458737;985.0787367;1352.33
2151.338737;986.0687367;1352.33
2121.468737;986.0687367;1352.33
2091.468737;994.0787367;1352.33
2031.448737;996.5687367;1352.33
2001.458737;996.5787367;1352.33
2031.448737;1001.078737;1352.33
2061.458737;994.0687367;1352.33
2061.448737;1001.068737;1352.33
2241.548737;985.0687367;1352.33
2241.528737;1001.098737;1352.33
2271.698737;984.5687367;1352.33
2301.578737;987.5687367;1352.33
2271.698737;987.5687367;1352.33
2211.688737;1001.068737;1352.33
2151.288737;999.0387367;1352.33
2151.338737;989.1287367;1352.33
2181.438737;999.0687367;1352.33
2211.678737;998.0687367;1352.33
2181.458737;998.0787367;1352.33
2001.458737;1001.568737;1352.33
1971.458737;1001.578737;1352.33
1896.618737;830.5487367;1352.33
1896.598737;827.5787367;1352.33
1896.608737;833.5787367;1352.33
1896.608737;841.0987367;1352.33
1896.618737;836.5787367;1352.33
1896.608737;824.5587367;1352.33
1911.458737;790.0787367;1352.33
1911.458737;789.0787367;1352.33
1896.618737;790.0987367;1352.33
1896.608737;812.5987367;1352.33
1896.618737;794.0687367;1352.33
1894.388737;910.1087367;1352.33
1895.778737;907.2187367;1352.33
1893.128737;912.9487367;1352.33
1891.208737;917.3587367;1352.33
1891.858737;915.8587367;1352.33
1896.588737;905.6087367;1352.33
1896.588737;854.5687367;1352.33
1896.608737;851.5787367;1352.33
1896.598737;857.5087367;1352.33
1896.588737;896.5087367;1352.33
1896.598737;884.5587367;1352.33
1941.458737;789.0787367;1352.33
2091.458737;748.0787367;1352.33
2091.468737;746.0687367;1352.33
2091.458737;754.0787367;1352.33
2061.458737;754.0787367;1352.33
2076.348737;754.0887367;1352.33
2121.458737;746.0687367;1352.33
2166.428737;733.1087367;1352.33
2181.458737;733.0787367;1352.33
2151.458737;733.0787367;1352.33
2121.458737;748.0787367;1352.33
2151.458737;748.0787367;1352.33
2001.468737;766.0687367;1352.33
2001.468737;764.0787367;1352.33
1971.468737;766.0687367;1352.33
1941.458737;769.0787367;1352.33
1971.458737;769.0787367;1352.33
2001.458737;763.0787367;1352.33
2061.468737;762.0687367;1352.33
2061.458737;760.0787367;1352.33
2031.468737;762.0687367;1352.33
2001.468737;761.0687367;1352.33
2031.468737;761.0687367;1352.33
1913.158737;1010.548737;1352.33
1878.638737;1006.528737;1352.33
1910.468737;1004.388737;1352.33
1944.258737;1007.398737;1352.33
1944.688737;1008.378737;1352.33
1880.368737;1010.508737;1352.33
1872.038737;991.3887367;1352.33
1871.688737;990.6087367;1352.33
1854.218737;989.3187367;1352.33
1862.848737;1008.418737;1352.33
1859.418737;1000.438737;1352.33
1971.458737;1010.578737;1352.33
1865.478737;976.3987367;1352.33
1859.848737;926.2387367;1352.33
1859.998737;924.7687367;1352.33
1859.778737;927.0687367;1352.33
1860.858737;929.5587367;1352.33
1860.168737;927.9587367;1352.33
1876.288737;926.3487367;1352.33
1872.828737;918.1287367;1352.33
1890.008737;920.1787367;1352.33
1874.208737;921.3187367;1352.33
1875.538737;924.7087367;1352.33
1874.808737;923.0687367;1352.33
1874.778737;960.4987367;1352.33
1871.958737;954.1687367;1352.33
1878.448737;969.1087367;1352.33
1882.528737;978.3987367;1352.33
1880.418737;973.5987367;1352.33
1868.418737;946.2087367;1352.33
1862.308737;932.8087367;1352.33
1861.578737;931.1887367;1352.33
1863.018737;934.3687367;1352.33
1864.488737;937.5187367;1352.33
1863.758737;935.9787367;1352.33
2511.458737;830.0687367;1352.33
2511.468737;832.9987367;1352.33
2511.458737;810.0687367;1352.33
2481.458737;805.0687367;1352.33
2481.458737;810.0687367;1352.33
2541.468737;833.0687367;1352.33
2576.268737;832.0787367;1352.33
2576.278737;838.0687367;1352.33
2571.468737;832.0687367;1352.33
2541.468737;832.0787367;1352.33
2556.448737;832.0687367;1352.33
