x,y,z,area,frec_fracturas,sigma_z,tiraje_prom
1067.41,403.9603,2346,286.5643,3.07,9.717836,124.994
1101.8353999999997,407.8344,2346,286.5643,3.07,10.151708,121.863
1136.2607999999996,411.7085,2346,286.5643,3.07,9.497151,123.582
1170.6861999999994,415.5826,2346,286.5643,3.07,9.869248,127.371
1205.1115999999993,419.4567,2346,286.5643,3.07,10.147606,129.801
1239.5369999999991,423.3308,2346,286.5643,3.07,10.400276,133.336
1273.962399999999,427.2049,2346,286.5643,3.07,10.633411,136.856
1308.3877999999988,431.079,2346,286.5643,3.07,11.713286,141.821
992.8474,383.0824,2346,286.5643,0.756,10.815964,127.09
1027.2546,386.9153,2346,286.5643,1.3011,9.918813,128.829
1061.6618,390.7482,2346,250.498,3.07,9.696451,125.419
1096.0689999999995,394.5811,2346,250.498,3.07,10.250262,122.534
1130.4761999999996,398.414,2346,250.498,3.07,9.57448,123.319
1164.8833999999997,402.2469,2346,250.498,3.07,9.825664,127.44
1199.2905999999994,406.0798,2346,250.498,3.07,10.090741,129.964
1233.6977999999992,409.9127,2346,250.498,3.07,10.358648,133.478
1268.104999999999,413.7456,2346,250.498,3.07,10.721687,137.41
1302.512199999999,417.5785,2346,250.498,3.07,11.296876,144.507
1336.9193999999989,421.4114,2346,250.498,3.07,14.061935,145.477
1021.315,373.3927,2346,306.7354,0.9672,10.120948,130.094
1055.7223,377.2256,2346,306.7354,2.455,9.986063,126.15
1090.1295999999998,381.0585,2346,306.7354,3.07,10.373969,123.505
1124.5368999999996,384.8914,2346,306.7354,3.07,10.588387,124.016
1158.9441999999997,388.7243,2346,306.7354,3.07,9.897721,127.401
1193.3514999999993,392.5572,2346,306.7354,3.07,10.103796,130.102
1227.7587999999992,396.3901,2346,306.7354,3.07,10.407322,133.168
1262.166099999999,400.223,2346,306.7354,3.07,10.591489,137.581
1296.5733999999989,404.0559,2346,306.7354,3.07,11.025448,144.976
1330.9806999999987,407.8888,2346,306.7354,3.07,12.969192,148.749
1365.3879999999986,411.7217,2346,306.7354,3.07,17.240986,146.857
1015.1092,359.1387,2346,248.9047,0.624,10.379656,130.257
1049.5341,363.0117,2346,295.0845,1.2865,10.085558,127.094
1083.9590000000003,366.88470000000007,2346,248.9047,2.8532,10.503823,124.195
1118.3839000000005,370.7577000000001,2346,295.0845,3.07,10.668747,124.603
1152.8088000000007,374.63070000000016,2346,248.9047,3.07,9.989779,127.862
1187.233700000001,378.5037000000002,2346,295.0845,3.07,10.208138,130.231
1221.6586000000011,382.37670000000026,2346,248.9047,3.07,10.421593,132.856
1256.083500000001,386.2497000000003,2346,295.0845,3.07,10.497944,137.676
1290.5084000000015,390.1227000000004,2346,248.9047,3.07,10.797507,144.534
1324.9333000000015,393.9957000000004,2346,295.0845,3.07,12.100987,151.63
1359.358200000002,397.8687000000005,2346,295.0845,3.07,15.32762,150.895
1008.9684,345.0733,2346,295.7595,0.3912,11.21621,130.504
1043.3929,348.9452,2346,295.7595,1.02,10.080811,127.659
1077.8174,352.8171,2346,295.7595,2.2865,10.416198,125.001
1112.2419000000002,356.689,2346,295.7595,3.07,10.639042,125.063
1146.6664000000003,360.5609,2346,295.7595,3.07,10.026304,128.306
1181.0909000000004,364.43279999999993,2346,295.7595,3.07,10.194346,131.134
