id_pilar,x,y,z,heterogeneidad_geologica,litologia_dominante,proximadad_de_fallas,condicion_de_frente,num_singularidades_geometricas,area_pilar,frec_fracturas,altura_extraible_promedio,carga_vertical_pre_mineria,carga_vertical_transicion,estado_pilar
204,841.6114354399999,32.919235439999966,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.4937,0.9540000000000001,274,10.272857,41.23374709846012,0
205,875.99993544,36.78593544,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,346.7385,1.02,274,10.183587,39.6485095972753,0
206,911.95743544,40.67863544,1125.0,heterogenea,complejos de rocas maficas,1,convexo,0,384.409,1.2795,274,10.97444,44.705111923583864,0
207,946.04693544,43.84083543999998,1125.0,homogenea,complejos de rocas maficas,1,plano,0,369.2179,3.07,275,10.99742,44.028929789175024,0
208,979.03553544,48.24383544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,355.0905,3.07,276,10.408388,39.926126325981436,1
209,1013.66523544,52.26603544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,345.3233,3.07,279,10.610503,41.98996275497671,1
210,1048.11103544,56.13783544,1125.0,poco heterogenea,porfido dioritico,1,plano,0,350.7341,2.8779999999999997,282,10.900858,43.19203063277132,0
211,1082.66133544,60.023435440000014,1125.0,homogenea,porfido dioritico,0,plano,0,347.8899,0.9100000000000001,286,11.177424,44.57789412419191,0
212,1117.08493544,63.89403543999998,1125.0,poco heterogenea,porfido dioritico,0,plano,0,347.9437,0.67,288,11.357841,45.077679721621855,1
213,1151.49893544,67.76383543999998,1125.0,homogenea,complejos de rocas maficas,0,plano,0,347.7794,2.7099999999999995,283,12.951957,51.51526172764778,1
214,1185.93353544,71.63563543999999,1125.0,homogenea,complejos de rocas maficas,0,plano,0,348.5064,3.07,277,18.208534,72.61578573867477,1
215,1190.80953544,84.68213543999997,1125.0,homogenea,complejos de rocas maficas,0,plano,0,183.5212,3.07,277,20.67544,82.08922861965955,0
216,1008.46513544,36.05573543999998,1125.0,homogenea,complejos de rocas maficas,1,plano,0,356.6527,3.07,279,10.61313,42.30561928701498,1
217,1042.18653544,40.61073543999999,1125.0,heterogenea,porfido dioritico,1,convexo,0,327.8829,3.07,281,11.076346,45.48511108124569,0
218,1075.72863544,44.14333543999999,1125.0,homogenea,complejos de rocas maficas,0,plano,0,347.5109,1.1019999999999999,285,11.28079,45.296584311037506,1
219,1110.15153544,48.01243543999999,1125.0,poco heterogenea,porfido dioritico,0,plano,0,347.5007,0.67,287,11.445603,45.50814842680714,1
