fecha,ley_cut,ley_cola,ley_conc,tratamiento
2022-01-01,0.4461621304190823,0.0458887792870847,30.48062515258789,26114.034790857782
2022-01-02,0.462345518940798,0.0441799906345626,30.48062515258789,32633.78080434963
2022-01-03,0.5437981557433859,0.0331094917551439,30.48062515258789,24748.249737057547
2022-01-04,0.534849411564809,0.0448882972037632,30.48062515258789,21266.764725916044
2022-01-05,0.4186488878881007,0.0377673712045213,30.48062515258789,17384.164235912947
2022-01-06,0.3066403401155488,0.0427621023813385,30.48062515258789,18224.196777886573
2022-01-07,0.4612334191006884,0.050018827008796,30.48062515258789,20572.779033222698
2022-01-08,0.4634840922593735,0.0459641350158153,30.48062515258789,24509.66136050929
2022-01-09,0.5760257093953282,0.0331509123656561,30.48062515258789,24197.03944077097
2022-01-10,0.4777361908707336,0.026179484822589,30.48062515258789,27402.03135211315
2022-01-11,0.4220791982546768,0.0142508213331024,30.48062515258789,11054.623822450105
2022-01-12,0.0,0.0,30.48062515258789,388.7366245935645
2022-01-13,0.0,0.0,30.48062515258789,799.2603767425538
2022-01-14,0.492318012822857,0.0302982478404649,30.48062515258789,21044.9508694755
2022-01-15,0.487611359544543,0.0394151284153703,30.48062515258789,28725.147244040243
2022-01-16,0.7040116412808625,0.0438272110442742,30.48062515258789,26386.060771955385
2022-01-17,0.6979025527693757,0.047397799317875,30.48062515258789,26964.606904466506
2022-01-18,0.64733025188654,0.0469284160478248,30.48062515258789,27175.762586950183
2022-01-19,0.4963333600409601,0.0405279946478826,28.672687285136245,23652.84034257709
2022-01-20,0.5737610820070714,0.0480113010790384,30.399999618530284,28050.653444404303
2022-01-21,0.5520013859167866,0.0478248278561195,30.399999618530284,30294.75115397645
2022-01-22,0.5888774561735594,0.0504964411434706,30.399999618530284,30820.30861446487
2022-01-23,0.5313477328520809,0.0320350654345052,30.399999618530284,18620.517077498247
2022-01-24,0.4527714618171728,0.0333101954521064,30.399999618530284,27277.628864577226
2022-01-25,0.3975099977240516,0.0399497423371563,30.399999618530284,30337.397044972786
2022-01-26,0.6804830164592254,0.0406269616159439,30.399999618530284,28290.72047262321
2022-01-27,0.6000000238418579,0.0469156203737206,30.399999618530284,26821.14563716041
2022-01-28,0.6714157437340544,0.0317086029817312,30.399999618530284,32033.57673014117
2022-01-29,0.8430481147027028,0.0285659274112827,30.399999618530284,28885.768615396704
2022-01-30,0.9381422272688256,0.0265085465486102,30.399999618530284,27546.691328314697
2022-01-31,0.5977983731849241,0.0122294789459831,30.399999618530284,22591.638039954923
2022-02-01,0.7357936959122173,0.0341018905120413,28.08879890635272,26524.33774192768
2022-02-02,0.7168327083889431,0.0373322606735975,30.0,27356.75582588574
2022-02-03,0.6114910068484362,0.0294427875639705,30.0,28312.19161144324
2022-02-04,0.4710075818874219,0.0419554037150065,30.0,25247.94758982606
2022-02-05,0.4149603341857726,0.0418908983365602,30.0,27271.717346708225
2022-02-06,0.4597560703342347,0.0401642040734358,30.0,26251.959960209184
2022-02-07,0.5307962983928428,0.046115874522479,30.0,24125.764389627668
2022-02-08,0.4926185832918333,0.0424942540595608,30.0,22372.2310057263
2022-02-09,0.4811853697708998,0.0500275509421878,30.0,25795.17693261502
2022-02-10,0.4518627422173682,0.0479444260065669,30.0,28015.5573317395
2022-02-11,0.5474374295521158,0.0399273584821848,30.0,30855.54544319794
2022-02-12,0.5563158120431256,0.0331003515872748,30.0,31114.828145092582
2022-02-13,0.6735158131426663,0.0360585288051063,30.0,30599.196201012583
2022-02-14,0.6403451222408941,0.034000764153192,30.0,31369.22082312508
2022-02-15,0.5793821237045378,0.0311092173781519,30.0,27455.90560468259
2022-02-16,0.5539172895969688,0.0383719196137407,30.0,26364.92086027779
2022-02-17,0.3661938723159196,0.0321772805147745,30.0,29082.9779234622
2022-02-18,0.4009134618481209,0.0393846569706399,30.0,37150.66812410166
2022-02-19,0.5423395253126032,0.0412141159772282,30.0,39339.96188675876
2022-02-20,0.5416348256520165,0.0296747008228372,30.0,37380.63030715999
2022-02-21,0.5514177113545647,0.0313756132507172,30.0,35844.34518629121
2022-02-22,0.4651234666846684,0.0411713913735147,30.0,36595.2157828616
2022-02-23,0.4687088820697387,0.0386412988694781,28.948021826307297,38859.19588173031
2022-02-24,0.3396388888037917,0.0268992355992676,28.049791040040137,27200.60578205799
2022-02-25,0.3599593658724446,0.0277060253266712,28.39016267722017,21993.033295308047
2022-02-26,0.3585479717045565,0.0351996433943474,25.83648518945865,24450.66949775352
2022-02-27,0.4019832319030784,0.0253144835204993,30.5,31881.157030027585
2022-02-28,0.51320852223149,0.0231016505388115,30.5,33332.44057999732
2022-03-01,0.6161658821701078,0.0119552501085835,28.415141254124023,32864.835465336204
2022-03-02,0.1658129397220983,0.0031026715172594,8.703742794245487,16747.59582966691
2022-03-03,0.7412096947002179,0.0292968545281463,29.5793922482999,36439.63181601304
2022-03-04,0.3489285794925645,0.0208302381994927,23.15076502070772,27357.05157734833
2022-03-05,0.4722779373399069,0.0267163791775937,30.715824416664017,34810.709129791576
2022-03-06,0.4227927661459065,0.0165636234513574,30.624302637293024,36820.48307284238
2022-03-07,0.519976013345011,0.0365432315619193,30.51456489494808,37515.62594003334
2022-03-08,0.5120103124098033,0.0459886121395711,30.41885827309489,35154.25753660839
2022-03-09,0.3527171172335667,0.0226073135049192,19.02238690475114,25320.716975081414
2022-03-10,0.4185957886486793,0.0308593171088223,26.71365540335516,31271.77687984661
2022-03-11,0.4475228537078248,0.0322446891632422,30.76404938026459,29025.440801154044
